componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,276,55,359,BRC0740B,Nome não encontrado
Energia,kcal,65,13,85,BRC0740B,Nome não encontrado
Umidade,g,"83,5","16,7",108,BRC0740B,Nome não encontrado
Carboidrato total,g,"13,6","2,73","17,7",BRC0740B,Nome não encontrado
Carboidrato disponível,g,"12,6","2,53","16,4",BRC0740B,Nome não encontrado
Proteína,g,"1,17","0,23","1,52",BRC0740B,Nome não encontrado
Lipídios,g,"0,91","0,18","1,19",BRC0740B,Nome não encontrado
Fibra alimentar,g,"1,00","0,20","1,30",BRC0740B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0740B,Nome não encontrado
Cinzas,g,"0,78","0,16","1,01",BRC0740B,Nome não encontrado
Colesterol,mg,"1,90","0,38","2,46",BRC0740B,Nome não encontrado
Ácidos graxos saturados,g,"0,17","0,03","0,22",BRC0740B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,23","0,05","0,29",BRC0740B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,49","0,10","0,63",BRC0740B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01",BRC0740B,Nome não encontrado
Cálcio,mg,"13,6","2,72","17,7",BRC0740B,Nome não encontrado
Ferro,mg,"0,13","0,03","0,17",BRC0740B,Nome não encontrado
Sódio,mg,189,"37,9",246,BRC0740B,Nome não encontrado
Magnésio,mg,"13,1","2,62","17,0",BRC0740B,Nome não encontrado
Fósforo,mg,"19,7","3,95","25,6",BRC0740B,Nome não encontrado
Potássio,mg,"81,2","16,2",105,BRC0740B,Nome não encontrado
Manganês,mg,"0,07","0,01","0,09",BRC0740B,Nome não encontrado
Zinco,mg,"0,14","0,03","0,18",BRC0740B,Nome não encontrado
Cobre,mg,"0,03","0,01","0,03",BRC0740B,Nome não encontrado
Selênio,mcg,"0,52","0,10","0,67",BRC0740B,Nome não encontrado
Vitamina A (RE),mcg,"51,7","10,3","67,3",BRC0740B,Nome não encontrado
Vitamina A (RAE),mcg,"26,4","5,28","34,3",BRC0740B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0740B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,22","0,04","0,29",BRC0740B,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,04",BRC0740B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0740B,Nome não encontrado
Niacina,mg,"0,22","0,04","0,29",BRC0740B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,04",BRC0740B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0740B,Nome não encontrado
Vitamina C,mg,"5,52","1,10","7,17",BRC0740B,Nome não encontrado
Equivalente de folato,mcg,"7,52","1,50","9,78",BRC0740B,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0740B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0740B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0740B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0740B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0740B,Nome não encontrado
