componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,205,409,BRC0106H,Nome não encontrado
Energia,kcal,49,97,BRC0106H,Nome não encontrado
Umidade,g,"87,2",174,BRC0106H,Nome não encontrado
Carboidrato total,g,"7,65","15,3",BRC0106H,Nome não encontrado
Carboidrato disponível,g,"5,63","11,3",BRC0106H,Nome não encontrado
Proteína,g,"3,26","6,52",BRC0106H,Nome não encontrado
Lipídios,g,"1,02","2,04",BRC0106H,Nome não encontrado
Fibra alimentar,g,"2,02","4,05",BRC0106H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0106H,Nome não encontrado
Cinzas,g,"0,87","1,74",BRC0106H,Nome não encontrado
Colesterol,mg,"2,82","5,63",BRC0106H,Nome não encontrado
Ácidos graxos saturados,g,"0,43","0,85",BRC0106H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,23","0,47",BRC0106H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,05","0,09",BRC0106H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0106H,Nome não encontrado
Cálcio,mg,107,215,BRC0106H,Nome não encontrado
Ferro,mg,"0,71","1,42",BRC0106H,Nome não encontrado
Sódio,mg,"39,9","79,9",BRC0106H,Nome não encontrado
Magnésio,mg,"33,7","67,3",BRC0106H,Nome não encontrado
Fósforo,mg,101,203,BRC0106H,Nome não encontrado
Potássio,mg,190,380,BRC0106H,Nome não encontrado
Manganês,mg,"0,20","0,40",BRC0106H,Nome não encontrado
Zinco,mg,"0,63","1,26",BRC0106H,Nome não encontrado
Cobre,mg,"0,21","0,42",BRC0106H,Nome não encontrado
Selênio,mcg,"0,72","1,43",BRC0106H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0106H,Nome não encontrado
Vitamina A (RAE),mcg,"6,75","13,5",BRC0106H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0106H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,08",BRC0106H,Nome não encontrado
Tiamina,mg,"0,03","0,07",BRC0106H,Nome não encontrado
Riboflavina,mg,"0,21","0,42",BRC0106H,Nome não encontrado
Niacina,mg,"1,28","2,55",BRC0106H,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0106H,Nome não encontrado
Vitamina B12,mcg,"0,41","0,82",BRC0106H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0106H,Nome não encontrado
Equivalente de folato,mcg,"5,72","11,4",BRC0106H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0106H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0106H,Nome não encontrado
Gordura de adição,g,-,-,BRC0106H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0106H,Nome não encontrado
Proteína animal,g,-,-,BRC0106H,Nome não encontrado
