componente,unidade,Valor por 100g,Porção Média (30 g),codigo_alimento,nome_alimento
Energia,kJ,2557,767,BRC0002U,Nome não encontrado
Energia,kcal,617,185,BRC0002U,Nome não encontrado
Umidade,g,"3,37","1,01",BRC0002U,Nome não encontrado
Carboidrato total,g,"24,0","7,21",BRC0002U,Nome não encontrado
Carboidrato disponível,g,"20,0","5,99",BRC0002U,Nome não encontrado
Proteína,g,"20,7","6,22",BRC0002U,Nome não encontrado
Lipídios,g,"49,6","14,9",BRC0002U,Nome não encontrado
Fibra alimentar,g,"4,09","1,23",BRC0002U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0002U,Nome não encontrado
Cinzas,g,"2,33","0,70",BRC0002U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0002U,Nome não encontrado
Ácidos graxos saturados,g,"8,24","2,47",BRC0002U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"28,4","8,51",BRC0002U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"8,67","2,60",BRC0002U,Nome não encontrado
Ácidos graxos trans,g,"0,12","0,04",BRC0002U,Nome não encontrado
Cálcio,mg,"28,4","8,52",BRC0002U,Nome não encontrado
Ferro,mg,"5,76","1,73",BRC0002U,Nome não encontrado
Sódio,mg,125,"37,5",BRC0002U,Nome não encontrado
Magnésio,mg,258,"77,4",BRC0002U,Nome não encontrado
Fósforo,mg,547,164,BRC0002U,Nome não encontrado
Potássio,mg,700,210,BRC0002U,Nome não encontrado
Manganês,mg,"1,45","0,43",BRC0002U,Nome não encontrado
Zinco,mg,"5,06","1,52",BRC0002U,Nome não encontrado
Cobre,mg,"1,26","0,38",BRC0002U,Nome não encontrado
Selênio,mcg,"11,5","3,45",BRC0002U,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0002U,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0002U,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0002U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,98","0,30",BRC0002U,Nome não encontrado
Tiamina,mg,"0,29","0,09",BRC0002U,Nome não encontrado
Riboflavina,mg,"0,05","0,01",BRC0002U,Nome não encontrado
Niacina,mg,traços,traços,BRC0002U,Nome não encontrado
Vitamina B6,mg,"0,39","0,12",BRC0002U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0002U,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0002U,Nome não encontrado
Equivalente de folato,mcg,"67,8","20,3",BRC0002U,Nome não encontrado
Sal de adição,g,,,BRC0002U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0002U,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0002U,Nome não encontrado
Proteína vegetal,g,"20,7","6,22",BRC0002U,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0002U,Nome não encontrado
