componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Colher sopa rasa (18 g),codigo_alimento,nome_alimento
Energia,kJ,117,29,20,BRC0472B,Nome não encontrado
Energia,kcal,28,6,4,BRC0472B,Nome não encontrado
Umidade,g,"91,5","22,9","16,5",BRC0472B,Nome não encontrado
Carboidrato total,g,"6,27","1,57","1,13",BRC0472B,Nome não encontrado
Carboidrato disponível,g,"4,44","1,11","0,80",BRC0472B,Nome não encontrado
Proteína,g,"1,19","0,30","0,21",BRC0472B,Nome não encontrado
Lipídios,g,"0,17","0,04","0,03",BRC0472B,Nome não encontrado
Fibra alimentar,g,"1,83","0,46","0,33",BRC0472B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0472B,Nome não encontrado
Cinzas,g,"0,83","0,21","0,15",BRC0472B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0472B,Nome não encontrado
Ácidos graxos saturados,g,"0,02","0,00","0,00",BRC0472B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0472B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,01","0,01",BRC0472B,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0472B,Nome não encontrado
Cálcio,mg,"7,01","1,75","1,26",BRC0472B,Nome não encontrado
Ferro,mg,"0,38","0,10","0,07",BRC0472B,Nome não encontrado
Sódio,mg,127,"32,0","23,0",BRC0472B,Nome não encontrado
Magnésio,mg,"7,66","1,91","1,38",BRC0472B,Nome não encontrado
Fósforo,mg,"20,6","5,15","3,71",BRC0472B,Nome não encontrado
Potássio,mg,120,"30,2","21,8",BRC0472B,Nome não encontrado
Manganês,mg,"0,07","0,02","0,01",BRC0472B,Nome não encontrado
Zinco,mg,"0,16","0,04","0,03",BRC0472B,Nome não encontrado
Cobre,mg,"0,06","0,01","0,01",BRC0472B,Nome não encontrado
Selênio,mcg,"0,21","0,05","0,04",BRC0472B,Nome não encontrado
Vitamina A (RE),mcg,"75,7","18,9","13,6",BRC0472B,Nome não encontrado
Vitamina A (RAE),mcg,"37,8","9,46","6,81",BRC0472B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0472B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,89","0,22","0,16",BRC0472B,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,01",BRC0472B,Nome não encontrado
Riboflavina,mg,"0,04","0,01","0,01",BRC0472B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0472B,Nome não encontrado
Vitamina B6,mg,"0,02","0,00","0,00",BRC0472B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0472B,Nome não encontrado
Vitamina C,mg,117,"29,5","21,2",BRC0472B,Nome não encontrado
Equivalente de folato,mcg,"24,0","6,00","4,32",BRC0472B,Nome não encontrado
Sal de adição,g,"0,47","0,12","0,08",BRC0472B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0472B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0472B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0472B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0472B,Nome não encontrado
