componente,unidade,Valor por 100g,Xícara chá (30 g),codigo_alimento,nome_alimento
Energia,kJ,411,123,BRC0086B,Nome não encontrado
Energia,kcal,101,30,BRC0086B,Nome não encontrado
Umidade,g,"66,6","20,0",BRC0086B,Nome não encontrado
Carboidrato total,g,"23,1","6,92",BRC0086B,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0086B,Nome não encontrado
Proteína,g,"4,41","1,32",BRC0086B,Nome não encontrado
Lipídios,g,"3,91","1,17",BRC0086B,Nome não encontrado
Fibra alimentar,g,"23,9","7,18",BRC0086B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0086B,Nome não encontrado
Cinzas,g,"1,98","0,59",BRC0086B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0086B,Nome não encontrado
Ácidos graxos saturados,g,"0,50","0,15",BRC0086B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,50","0,15",BRC0086B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,10","0,63",BRC0086B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0086B,Nome não encontrado
Cálcio,mg,151,"45,3",BRC0086B,Nome não encontrado
Ferro,mg,"0,95","0,28",BRC0086B,Nome não encontrado
Sódio,mg,"0,77","0,23",BRC0086B,Nome não encontrado
Magnésio,mg,"65,3","19,6",BRC0086B,Nome não encontrado
Fósforo,mg,155,"46,5",BRC0086B,Nome não encontrado
Potássio,mg,619,185,BRC0086B,Nome não encontrado
Manganês,mg,"0,52","0,16",BRC0086B,Nome não encontrado
Zinco,mg,"0,63","0,19",BRC0086B,Nome não encontrado
Cobre,mg,"1,16","0,35",BRC0086B,Nome não encontrado
Selênio,mcg,,,BRC0086B,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0086B,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0086B,Nome não encontrado
Vitamina D,mcg,,,BRC0086B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0086B,Nome não encontrado
Tiamina,mg,"0,13","0,04",BRC0086B,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0086B,Nome não encontrado
Niacina,mg,traços,traços,BRC0086B,Nome não encontrado
Vitamina B6,mg,"0,20","0,06",BRC0086B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0086B,Nome não encontrado
Vitamina C,mg,"13,8","4,15",BRC0086B,Nome não encontrado
Equivalente de folato,mcg,,,BRC0086B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0086B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0086B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0086B,Nome não encontrado
Proteína vegetal,g,"4,41","1,32",BRC0086B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0086B,Nome não encontrado
