componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,236,566,389,BRC0042T,Nome não encontrado
Energia,kcal,56,134,92,BRC0042T,Nome não encontrado
Umidade,g,"87,1",209,143,BRC0042T,Nome não encontrado
Carboidrato total,g,"9,67","23,2","16,0",BRC0042T,Nome não encontrado
Carboidrato disponível,g,"9,54","22,9","15,7",BRC0042T,Nome não encontrado
Proteína,g,"1,76","4,22","2,90",BRC0042T,Nome não encontrado
Lipídios,g,"1,16","2,78","1,91",BRC0042T,Nome não encontrado
Fibra alimentar,g,"0,12","0,29","0,20",BRC0042T,Nome não encontrado
Álcool,g,,,,BRC0042T,Nome não encontrado
Cinzas,g,"0,29","0,70","0,48",BRC0042T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0042T,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,48","0,33",BRC0042T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,30","0,72","0,50",BRC0042T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,60","1,44","0,99",BRC0042T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,02","0,02",BRC0042T,Nome não encontrado
Cálcio,mg,"16,5","39,6","27,3",BRC0042T,Nome não encontrado
Ferro,mg,"0,43","1,04","0,72",BRC0042T,Nome não encontrado
Sódio,mg,"56,5",135,"93,3",BRC0042T,Nome não encontrado
Magnésio,mg,"15,5","37,1","25,5",BRC0042T,Nome não encontrado
Fósforo,mg,"52,9",126,"87,3",BRC0042T,Nome não encontrado
Potássio,mg,121,290,199,BRC0042T,Nome não encontrado
Manganês,mg,"0,15","0,35","0,24",BRC0042T,Nome não encontrado
Zinco,mg,"0,28","0,67","0,46",BRC0042T,Nome não encontrado
Cobre,mg,"0,08","0,20","0,14",BRC0042T,Nome não encontrado
Selênio,mcg,"0,45","1,08","0,74",BRC0042T,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0042T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0042T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0042T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0042T,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0042T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0042T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0042T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0042T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0042T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0042T,Nome não encontrado
Equivalente de folato,mcg,"38,8","93,1","64,0",BRC0042T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0042T,Nome não encontrado
Açúcar de adição,g,,,,BRC0042T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0042T,Nome não encontrado
Proteína vegetal,g,"1,76","4,22","2,90",BRC0042T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0042T,Nome não encontrado
