componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,390,390,BRC0345E,Nome não encontrado
Energia,kcal,93,92,BRC0345E,Nome não encontrado
Umidade,g,"78,6","78,6",BRC0345E,Nome não encontrado
Carboidrato total,g,"0,74","0,74",BRC0345E,Nome não encontrado
Carboidrato disponível,g,"0,61","0,61",BRC0345E,Nome não encontrado
Proteína,g,"17,1","17,1",BRC0345E,Nome não encontrado
Lipídios,g,"2,41","2,41",BRC0345E,Nome não encontrado
Fibra alimentar,g,"0,14","0,14",BRC0345E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0345E,Nome não encontrado
Cinzas,g,"1,90","1,90",BRC0345E,Nome não encontrado
Colesterol,mg,290,290,BRC0345E,Nome não encontrado
Ácidos graxos saturados,g,"0,67","0,67",BRC0345E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,52","0,52",BRC0345E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,96","0,96",BRC0345E,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,02",BRC0345E,Nome não encontrado
Cálcio,mg,"80,0","80,0",BRC0345E,Nome não encontrado
Ferro,mg,"2,14","2,14",BRC0345E,Nome não encontrado
Sódio,mg,502,502,BRC0345E,Nome não encontrado
Magnésio,mg,"17,5","17,5",BRC0345E,Nome não encontrado
Fósforo,mg,238,238,BRC0345E,Nome não encontrado
Potássio,mg,104,104,BRC0345E,Nome não encontrado
Manganês,mg,"0,06","0,06",BRC0345E,Nome não encontrado
Zinco,mg,"1,11","1,11",BRC0345E,Nome não encontrado
Cobre,mg,"0,16","0,16",BRC0345E,Nome não encontrado
Selênio,mcg,"41,7","41,7",BRC0345E,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0345E,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0345E,Nome não encontrado
Vitamina D,mcg,"0,07","0,07",BRC0345E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,49","1,49",BRC0345E,Nome não encontrado
Tiamina,mg,traços,traços,BRC0345E,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0345E,Nome não encontrado
Niacina,mg,"0,94","0,94",BRC0345E,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0345E,Nome não encontrado
Vitamina B12,mcg,"1,45","1,45",BRC0345E,Nome não encontrado
Vitamina C,mg,"0,45","0,45",BRC0345E,Nome não encontrado
Equivalente de folato,mcg,"16,5","16,5",BRC0345E,Nome não encontrado
Sal de adição,g,"0,45","0,45",BRC0345E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0345E,Nome não encontrado
Gordura de adição,g,-,-,BRC0345E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0345E,Nome não encontrado
Proteína animal,g,-,-,BRC0345E,Nome não encontrado
