componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,370,73,480,BRC0126T,Nome não encontrado
Energia,kcal,89,17,115,BRC0126T,Nome não encontrado
Umidade,g,"79,1","15,8",102,BRC0126T,Nome não encontrado
Carboidrato total,g,"10,5","2,10","13,7",BRC0126T,Nome não encontrado
Carboidrato disponível,g,"4,50","0,90","5,84",BRC0126T,Nome não encontrado
Proteína,g,"4,90","0,98","6,37",BRC0126T,Nome não encontrado
Lipídios,g,"4,38","0,88","5,69",BRC0126T,Nome não encontrado
Fibra alimentar,g,"6,02","1,20","7,83",BRC0126T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0126T,Nome não encontrado
Cinzas,g,"1,08","0,22","1,41",BRC0126T,Nome não encontrado
Colesterol,mg,"4,96","0,99","6,44",BRC0126T,Nome não encontrado
Ácidos graxos saturados,g,"1,21","0,24","1,57",BRC0126T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,57","0,31","2,04",BRC0126T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,38","0,28","1,79",BRC0126T,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,01","0,04",BRC0126T,Nome não encontrado
Cálcio,mg,"22,6","4,52","29,4",BRC0126T,Nome não encontrado
Ferro,mg,"1,12","0,22","1,46",BRC0126T,Nome não encontrado
Sódio,mg,196,"39,2",254,BRC0126T,Nome não encontrado
Magnésio,mg,"29,7","5,94","38,6",BRC0126T,Nome não encontrado
Fósforo,mg,"71,2","14,2","92,6",BRC0126T,Nome não encontrado
Potássio,mg,206,"41,2",267,BRC0126T,Nome não encontrado
Manganês,mg,"0,27","0,05","0,35",BRC0126T,Nome não encontrado
Zinco,mg,"1,41","0,28","1,83",BRC0126T,Nome não encontrado
Cobre,mg,"0,41","0,08","0,53",BRC0126T,Nome não encontrado
Selênio,mcg,"1,94","0,39","2,52",BRC0126T,Nome não encontrado
Vitamina A (RE),mcg,"16,9","3,37","21,9",BRC0126T,Nome não encontrado
Vitamina A (RAE),mcg,"8,66","1,73","11,3",BRC0126T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0126T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,15","0,03","0,19",BRC0126T,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,06",BRC0126T,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0126T,Nome não encontrado
Niacina,mg,"0,29","0,06","0,38",BRC0126T,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,04",BRC0126T,Nome não encontrado
Vitamina B12,mcg,"0,10","0,02","0,13",BRC0126T,Nome não encontrado
Vitamina C,mg,"0,39","0,08","0,50",BRC0126T,Nome não encontrado
Equivalente de folato,mcg,"61,4","12,3","79,8",BRC0126T,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0126T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0126T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0126T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0126T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0126T,Nome não encontrado
