componente,unidade,Valor por 100g,Xícara chá (90 g),codigo_alimento,nome_alimento
Energia,kJ,155,139,BRC0016B,Nome não encontrado
Energia,kcal,37,33,BRC0016B,Nome não encontrado
Umidade,g,"88,9","80,0",BRC0016B,Nome não encontrado
Carboidrato total,g,"4,99","4,49",BRC0016B,Nome não encontrado
Carboidrato disponível,g,"1,96","1,76",BRC0016B,Nome não encontrado
Proteína,g,"4,14","3,73",BRC0016B,Nome não encontrado
Lipídios,g,"0,72","0,65",BRC0016B,Nome não encontrado
Fibra alimentar,g,"3,04","2,73",BRC0016B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0016B,Nome não encontrado
Cinzas,g,"1,28","1,15",BRC0016B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0016B,Nome não encontrado
Ácidos graxos saturados,g,"0,32","0,29",BRC0016B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,08","0,07",BRC0016B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,16","0,14",BRC0016B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0016B,Nome não encontrado
Cálcio,mg,108,"97,7",BRC0016B,Nome não encontrado
Ferro,mg,"0,77","0,69",BRC0016B,Nome não encontrado
Sódio,mg,"4,21","3,79",BRC0016B,Nome não encontrado
Magnésio,mg,"37,4","33,6",BRC0016B,Nome não encontrado
Fósforo,mg,"99,2","89,3",BRC0016B,Nome não encontrado
Potássio,mg,322,289,BRC0016B,Nome não encontrado
Manganês,mg,"0,33","0,30",BRC0016B,Nome não encontrado
Zinco,mg,"0,60","0,54",BRC0016B,Nome não encontrado
Cobre,mg,"0,08","0,07",BRC0016B,Nome não encontrado
Selênio,mcg,"0,50","0,45",BRC0016B,Nome não encontrado
Vitamina A (RE),mcg,427,385,BRC0016B,Nome não encontrado
Vitamina A (RAE),mcg,213,192,BRC0016B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0016B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,52","1,37",BRC0016B,Nome não encontrado
Tiamina,mg,"0,15","0,13",BRC0016B,Nome não encontrado
Riboflavina,mg,"0,23","0,21",BRC0016B,Nome não encontrado
Niacina,mg,"1,76","1,58",BRC0016B,Nome não encontrado
Vitamina B6,mg,"0,10","0,09",BRC0016B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0016B,Nome não encontrado
Vitamina C,mg,"43,3","39,0",BRC0016B,Nome não encontrado
Equivalente de folato,mcg,"65,4","58,8",BRC0016B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0016B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0016B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0016B,Nome não encontrado
Proteína vegetal,g,"4,14","3,73",BRC0016B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0016B,Nome não encontrado
