componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,458,251,BRC0469N,Nome não encontrado
Energia,kcal,109,59,BRC0469N,Nome não encontrado
Umidade,g,"75,9","41,8",BRC0469N,Nome não encontrado
Carboidrato total,g,"7,71","4,24",BRC0469N,Nome não encontrado
Carboidrato disponível,g,"6,81","3,74",BRC0469N,Nome não encontrado
Proteína,g,"12,3","6,76",BRC0469N,Nome não encontrado
Lipídios,g,"3,40","1,87",BRC0469N,Nome não encontrado
Fibra alimentar,g,"0,91","0,50",BRC0469N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0469N,Nome não encontrado
Cinzas,g,"0,68","0,38",BRC0469N,Nome não encontrado
Colesterol,mg,"31,7","17,4",BRC0469N,Nome não encontrado
Ácidos graxos saturados,g,"0,74","0,40",BRC0469N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,93","1,06",BRC0469N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,57","0,32",BRC0469N,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01",BRC0469N,Nome não encontrado
Cálcio,mg,"26,5","14,6",BRC0469N,Nome não encontrado
Ferro,mg,"0,65","0,35",BRC0469N,Nome não encontrado
Sódio,mg,142,"78,4",BRC0469N,Nome não encontrado
Magnésio,mg,"10,5","5,77",BRC0469N,Nome não encontrado
Fósforo,mg,"88,3","48,6",BRC0469N,Nome não encontrado
Potássio,mg,171,"94,5",BRC0469N,Nome não encontrado
Manganês,mg,"0,03","0,02",BRC0469N,Nome não encontrado
Zinco,mg,"0,37","0,20",BRC0469N,Nome não encontrado
Cobre,mg,"0,02","0,01",BRC0469N,Nome não encontrado
Selênio,mcg,"4,42","2,43",BRC0469N,Nome não encontrado
Vitamina A (RE),mcg,"47,0","25,8",BRC0469N,Nome não encontrado
Vitamina A (RAE),mcg,"23,5","12,9",BRC0469N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0469N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,32","0,18",BRC0469N,Nome não encontrado
Tiamina,mg,"0,06","0,03",BRC0469N,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0469N,Nome não encontrado
Niacina,mg,"2,80","1,54",BRC0469N,Nome não encontrado
Vitamina B6,mg,"0,01","0,00",BRC0469N,Nome não encontrado
Vitamina B12,mcg,"0,05","0,03",BRC0469N,Nome não encontrado
Vitamina C,mg,"3,67","2,02",BRC0469N,Nome não encontrado
Equivalente de folato,mcg,"22,6","12,4",BRC0469N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0469N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0469N,Nome não encontrado
Gordura de adição,g,-,-,BRC0469N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0469N,Nome não encontrado
Proteína animal,g,-,-,BRC0469N,Nome não encontrado
