componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,92,184,BRC0097H,Nome não encontrado
Energia,kcal,22,43,BRC0097H,Nome não encontrado
Umidade,g,"94,6",189,BRC0097H,Nome não encontrado
Carboidrato total,g,"3,41","6,83",BRC0097H,Nome não encontrado
Carboidrato disponível,g,"3,15","6,31",BRC0097H,Nome não encontrado
Proteína,g,"1,56","3,11",BRC0097H,Nome não encontrado
Lipídios,g,"0,28","0,55",BRC0097H,Nome não encontrado
Fibra alimentar,g,"0,26","0,52",BRC0097H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0097H,Nome não encontrado
Cinzas,g,"0,39","0,77",BRC0097H,Nome não encontrado
Colesterol,mg,"1,88","3,75",BRC0097H,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,07",BRC0097H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,01",BRC0097H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,07",BRC0097H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0097H,Nome não encontrado
Cálcio,mg,"68,1",136,BRC0097H,Nome não encontrado
Ferro,mg,"0,04","0,09",BRC0097H,Nome não encontrado
Sódio,mg,"26,2","52,4",BRC0097H,Nome não encontrado
Magnésio,mg,"6,65","13,3",BRC0097H,Nome não encontrado
Fósforo,mg,"43,9","87,9",BRC0097H,Nome não encontrado
Potássio,mg,"83,1",166,BRC0097H,Nome não encontrado
Manganês,mg,"0,01","0,03",BRC0097H,Nome não encontrado
Zinco,mg,"0,20","0,39",BRC0097H,Nome não encontrado
Cobre,mg,"0,02","0,03",BRC0097H,Nome não encontrado
Selênio,mcg,,,BRC0097H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0097H,Nome não encontrado
Vitamina A (RAE),mcg,"4,50","9,00",BRC0097H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0097H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,04",BRC0097H,Nome não encontrado
Tiamina,mg,"0,02","0,04",BRC0097H,Nome não encontrado
Riboflavina,mg,"0,13","0,27",BRC0097H,Nome não encontrado
Niacina,mg,"0,81","1,62",BRC0097H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0097H,Nome não encontrado
Vitamina B12,mcg,"0,28","0,55",BRC0097H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0097H,Nome não encontrado
Equivalente de folato,mcg,"2,75","5,49",BRC0097H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0097H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0097H,Nome não encontrado
Gordura de adição,g,-,-,BRC0097H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0097H,Nome não encontrado
Proteína animal,g,-,-,BRC0097H,Nome não encontrado
