componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,155,371,255,309,BRC0044H,Nome não encontrado
Energia,kcal,37,88,60,73,BRC0044H,Nome não encontrado
Umidade,g,"92,3",221,152,184,BRC0044H,Nome não encontrado
Carboidrato total,g,"3,70","8,87","6,10","7,39",BRC0044H,Nome não encontrado
Carboidrato disponível,g,"3,70","8,87","6,10","7,39",BRC0044H,Nome não encontrado
Proteína,g,"1,82","4,37","3,00","3,64",BRC0044H,Nome não encontrado
Lipídios,g,"1,65","3,96","2,73","3,30",BRC0044H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0044H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0044H,Nome não encontrado
Cinzas,g,"0,52","1,25","0,86","1,04",BRC0044H,Nome não encontrado
Colesterol,mg,"6,19","14,8","10,2","12,4",BRC0044H,Nome não encontrado
Ácidos graxos saturados,g,"1,01","2,42","1,67","2,02",BRC0044H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,49","1,18","0,81","0,99",BRC0044H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,06","0,14","0,10","0,12",BRC0044H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0044H,Nome não encontrado
Cálcio,mg,"55,2",132,"91,1",110,BRC0044H,Nome não encontrado
Ferro,mg,"0,04","0,09","0,06","0,07",BRC0044H,Nome não encontrado
Sódio,mg,"32,4","77,7","53,5","64,8",BRC0044H,Nome não encontrado
Magnésio,mg,"9,69","23,2","16,0","19,4",BRC0044H,Nome não encontrado
Fósforo,mg,"45,7",109,"75,5","91,5",BRC0044H,Nome não encontrado
Potássio,mg,144,346,238,288,BRC0044H,Nome não encontrado
Manganês,mg,"0,02","0,05","0,03","0,04",BRC0044H,Nome não encontrado
Zinco,mg,"0,19","0,46","0,32","0,38",BRC0044H,Nome não encontrado
Cobre,mg,"0,01","0,03","0,02","0,03",BRC0044H,Nome não encontrado
Selênio,mcg,"2,40","5,77","3,96","4,81",BRC0044H,Nome não encontrado
Vitamina A (RE),mcg,"24,8","59,5","40,9","49,6",BRC0044H,Nome não encontrado
Vitamina A (RAE),mcg,"24,4","58,6","40,3","48,8",BRC0044H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0044H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,13","0,09","0,11",BRC0044H,Nome não encontrado
Tiamina,mg,"0,03","0,06","0,04","0,05",BRC0044H,Nome não encontrado
Riboflavina,mg,"0,16","0,38","0,26","0,32",BRC0044H,Nome não encontrado
Niacina,mg,"0,86","2,05","1,41","1,71",BRC0044H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0044H,Nome não encontrado
Vitamina B12,mcg,"0,19","0,45","0,31","0,37",BRC0044H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0044H,Nome não encontrado
Equivalente de folato,mcg,"3,59","8,62","5,92","7,18",BRC0044H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0044H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0044H,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0044H,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0044H,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0044H,Nome não encontrado
