componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,835,500,375,834,BRC0415E,Nome não encontrado
Energia,kcal,200,119,89,199,BRC0415E,Nome não encontrado
Umidade,g,"63,1","37,9","28,4","63,1",BRC0415E,Nome não encontrado
Carboidrato total,g,"4,06","2,44","1,83","4,06",BRC0415E,Nome não encontrado
Carboidrato disponível,g,"4,01","2,41","1,80","4,01",BRC0415E,Nome não encontrado
Proteína,g,"19,6","11,8","8,84","19,6",BRC0415E,Nome não encontrado
Lipídios,g,"11,7","7,01","5,26","11,7",BRC0415E,Nome não encontrado
Fibra alimentar,g,"0,05","0,03","0,02","0,05",BRC0415E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0415E,Nome não encontrado
Cinzas,g,"1,49","0,89","0,67","1,49",BRC0415E,Nome não encontrado
Colesterol,mg,"54,8","32,9","24,7","54,8",BRC0415E,Nome não encontrado
Ácidos graxos saturados,g,"3,41","2,04","1,53","3,41",BRC0415E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,36","2,02","1,51","3,36",BRC0415E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,59","2,16","1,62","3,59",BRC0415E,Nome não encontrado
Ácidos graxos trans,g,,,,,BRC0415E,Nome não encontrado
Cálcio,mg,"40,9","24,5","18,4","40,9",BRC0415E,Nome não encontrado
Ferro,mg,"0,34","0,20","0,15","0,34",BRC0415E,Nome não encontrado
Sódio,mg,119,"71,5","53,6",119,BRC0415E,Nome não encontrado
Magnésio,mg,"29,9","17,9","13,4","29,9",BRC0415E,Nome não encontrado
Fósforo,mg,276,165,124,276,BRC0415E,Nome não encontrado
Potássio,mg,404,242,182,404,BRC0415E,Nome não encontrado
Manganês,mg,"0,01","0,01","0,00","0,01",BRC0415E,Nome não encontrado
Zinco,mg,"0,46","0,28","0,21","0,46",BRC0415E,Nome não encontrado
Cobre,mg,"0,03","0,02","0,01","0,03",BRC0415E,Nome não encontrado
Selênio,mcg,"22,0","13,2","9,90","22,0",BRC0415E,Nome não encontrado
Vitamina A (RE),mcg,"0,48","0,29","0,22","0,48",BRC0415E,Nome não encontrado
Vitamina A (RAE),mcg,"0,24","0,14","0,11","0,24",BRC0415E,Nome não encontrado
Vitamina D,mcg,"6,90","4,14","3,11","6,90",BRC0415E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,75","1,65","1,24","2,75",BRC0415E,Nome não encontrado
Tiamina,mg,"0,18","0,11","0,08","0,18",BRC0415E,Nome não encontrado
Riboflavina,mg,"0,10","0,06","0,04","0,10",BRC0415E,Nome não encontrado
Niacina,mg,"3,39","2,03","1,52","3,39",BRC0415E,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0415E,Nome não encontrado
Vitamina B12,mcg,"2,58","1,55","1,16","2,58",BRC0415E,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0415E,Nome não encontrado
Equivalente de folato,mcg,"24,0","14,4","10,8","24,0",BRC0415E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0415E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0415E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0415E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0415E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0415E,Nome não encontrado
