componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Pedaço/ Unidade/ Fatia (M) (6 g),codigo_alimento,nome_alimento
Energia,kJ,1731,432,103,BRC0776F,Nome não encontrado
Energia,kcal,418,104,25,BRC0776F,Nome não encontrado
Umidade,g,"36,9","9,24","2,22",BRC0776F,Nome não encontrado
Carboidrato total,g,"0,75","0,19","0,04",BRC0776F,Nome não encontrado
Carboidrato disponível,g,"0,61","0,15","0,04",BRC0776F,Nome não encontrado
Proteína,g,"25,9","6,49","1,56",BRC0776F,Nome não encontrado
Lipídios,g,"34,6","8,64","2,07",BRC0776F,Nome não encontrado
Fibra alimentar,g,"0,14","0,03","0,01",BRC0776F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0776F,Nome não encontrado
Cinzas,g,"1,78","0,44","0,11",BRC0776F,Nome não encontrado
Colesterol,mg,285,"71,4","17,1",BRC0776F,Nome não encontrado
Ácidos graxos saturados,g,"8,97","2,24","0,54",BRC0776F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"11,6","2,89","0,69",BRC0776F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"6,82","1,70","0,41",BRC0776F,Nome não encontrado
Ácidos graxos trans,g,"0,17","0,04","0,01",BRC0776F,Nome não encontrado
Cálcio,mg,"11,7","2,92","0,70",BRC0776F,Nome não encontrado
Ferro,mg,"8,08","2,02","0,48",BRC0776F,Nome não encontrado
Sódio,mg,187,"46,8","11,2",BRC0776F,Nome não encontrado
Magnésio,mg,"39,9","9,96","2,39",BRC0776F,Nome não encontrado
Fósforo,mg,384,"96,1","23,1",BRC0776F,Nome não encontrado
Potássio,mg,448,112,"26,9",BRC0776F,Nome não encontrado
Manganês,mg,"0,11","0,03","0,01",BRC0776F,Nome não encontrado
Zinco,mg,"4,28","1,07","0,26",BRC0776F,Nome não encontrado
Cobre,mg,"0,40","0,10","0,02",BRC0776F,Nome não encontrado
Selênio,mcg,"9,94","2,48","0,60",BRC0776F,Nome não encontrado
Vitamina A (RE),mcg,"15,1","3,79","0,91",BRC0776F,Nome não encontrado
Vitamina A (RAE),mcg,"15,1","3,79","0,91",BRC0776F,Nome não encontrado
Vitamina D,mcg,,,,BRC0776F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0776F,Nome não encontrado
Tiamina,mg,"0,41","0,10","0,02",BRC0776F,Nome não encontrado
Riboflavina,mg,"0,69","0,17","0,04",BRC0776F,Nome não encontrado
Niacina,mg,"6,00","1,50","0,36",BRC0776F,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00",BRC0776F,Nome não encontrado
Vitamina B12,mcg,"14,3","3,57","0,86",BRC0776F,Nome não encontrado
Vitamina C,mg,"6,35","1,59","0,38",BRC0776F,Nome não encontrado
Equivalente de folato,mcg,116,"29,2","7,01",BRC0776F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0776F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0776F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0776F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0776F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0776F,Nome não encontrado
