componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,274,656,451,BRC0122C,Nome não encontrado
Energia,kcal,65,155,107,BRC0122C,Nome não encontrado
Umidade,g,"81,1",194,133,BRC0122C,Nome não encontrado
Carboidrato total,g,"16,7","40,0","27,5",BRC0122C,Nome não encontrado
Carboidrato disponível,g,"12,9","31,0","21,3",BRC0122C,Nome não encontrado
Proteína,g,"0,63","1,51","1,04",BRC0122C,Nome não encontrado
Lipídios,g,"0,36","0,87","0,60",BRC0122C,Nome não encontrado
Fibra alimentar,g,"3,73","8,96","6,16",BRC0122C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0122C,Nome não encontrado
Cinzas,g,"1,30","3,12","2,15",BRC0122C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0122C,Nome não encontrado
Ácidos graxos saturados,g,"0,04","0,11","0,07",BRC0122C,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0122C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,21","0,51","0,35",BRC0122C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0122C,Nome não encontrado
Cálcio,mg,"5,07","12,2","8,37",BRC0122C,Nome não encontrado
Ferro,mg,"0,14","0,32","0,22",BRC0122C,Nome não encontrado
Sódio,mg,"0,96","2,29","1,58",BRC0122C,Nome não encontrado
Magnésio,mg,"6,46","15,5","10,7",BRC0122C,Nome não encontrado
Fósforo,mg,"11,4","27,2","18,7",BRC0122C,Nome não encontrado
Potássio,mg,146,351,241,BRC0122C,Nome não encontrado
Manganês,mg,"0,07","0,16","0,11",BRC0122C,Nome não encontrado
Zinco,mg,"0,12","0,28","0,19",BRC0122C,Nome não encontrado
Cobre,mg,"0,03","0,07","0,05",BRC0122C,Nome não encontrado
Selênio,mcg,"0,31","0,75","0,52",BRC0122C,Nome não encontrado
Vitamina A (RE),mcg,"77,1",185,127,BRC0122C,Nome não encontrado
Vitamina A (RAE),mcg,"38,6","92,6","63,6",BRC0122C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0122C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0122C,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0122C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0122C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0122C,Nome não encontrado
Vitamina B6,mg,"0,02","0,05","0,04",BRC0122C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0122C,Nome não encontrado
Vitamina C,mg,"59,5",142,"98,2",BRC0122C,Nome não encontrado
Equivalente de folato,mcg,"29,0","69,5","47,8",BRC0122C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0122C,Nome não encontrado
Açúcar de adição,g,"5,00","12,0","8,25",BRC0122C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0122C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0122C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0122C,Nome não encontrado
