componente,unidade,Valor por 100g,Colher café rasa (12 g),Colher sobremesa cheia (20 g),Colher sopa cheia (40 g),codigo_alimento,nome_alimento
Energia,kJ,978,117,195,391,BRC0099C,Nome não encontrado
Energia,kcal,230,27,46,92,BRC0099C,Nome não encontrado
Umidade,g,"41,9","5,03","8,38","16,8",BRC0099C,Nome não encontrado
Carboidrato total,g,"57,6","6,92","11,5","23,1",BRC0099C,Nome não encontrado
Carboidrato disponível,g,"56,4","6,77","11,3","22,6",BRC0099C,Nome não encontrado
Proteína,g,"0,32","0,04","0,06","0,13",BRC0099C,Nome não encontrado
Lipídios,g,"0,10","0,01","0,02","0,04",BRC0099C,Nome não encontrado
Fibra alimentar,g,"1,23","0,15","0,25","0,49",BRC0099C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0099C,Nome não encontrado
Cinzas,g,"0,07","0,01","0,01","0,03",BRC0099C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0099C,Nome não encontrado
Ácidos graxos saturados,g,,,,,BRC0099C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,,,BRC0099C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,,,BRC0099C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0099C,Nome não encontrado
Cálcio,mg,"12,4","1,49","2,49","4,97",BRC0099C,Nome não encontrado
Ferro,mg,"0,15","0,02","0,03","0,06",BRC0099C,Nome não encontrado
Sódio,mg,"4,74","0,57","0,95","1,90",BRC0099C,Nome não encontrado
Magnésio,mg,"4,54","0,55","0,91","1,82",BRC0099C,Nome não encontrado
Fósforo,mg,"3,23","0,39","0,65","1,29",BRC0099C,Nome não encontrado
Potássio,mg,"8,67","1,04","1,73","3,47",BRC0099C,Nome não encontrado
Manganês,mg,"0,04","0,00","0,01","0,02",BRC0099C,Nome não encontrado
Zinco,mg,"0,02","0,00","0,00","0,01",BRC0099C,Nome não encontrado
Cobre,mg,"0,02","0,00","0,00","0,01",BRC0099C,Nome não encontrado
Selênio,mcg,,,,,BRC0099C,Nome não encontrado
Vitamina A (RE),mcg,"24,7","2,97","4,94","9,89",BRC0099C,Nome não encontrado
Vitamina A (RAE),mcg,"62,2","7,46","12,4","24,9",BRC0099C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0099C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,-,-,-,-,BRC0099C,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,BRC0099C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0099C,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0099C,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,BRC0099C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0099C,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,BRC0099C,Nome não encontrado
Equivalente de folato,mcg,,,,,BRC0099C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0099C,Nome não encontrado
Açúcar de adição,g,,,,,BRC0099C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0099C,Nome não encontrado
Proteína vegetal,g,"0,32","0,04","0,06","0,13",BRC0099C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0099C,Nome não encontrado
