componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Pedaço/ Unidade/ Fatia (M) (6 g),codigo_alimento,nome_alimento
Energia,kJ,825,206,49,BRC0771F,Nome não encontrado
Energia,kcal,198,49,11,BRC0771F,Nome não encontrado
Umidade,g,"63,2","15,8","3,79",BRC0771F,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00",BRC0771F,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00",BRC0771F,Nome não encontrado
Proteína,g,"22,3","5,58","1,34",BRC0771F,Nome não encontrado
Lipídios,g,"12,0","3,01","0,72",BRC0771F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0771F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0771F,Nome não encontrado
Cinzas,g,"1,79","0,45","0,11",BRC0771F,Nome não encontrado
Colesterol,mg,279,"69,8","16,7",BRC0771F,Nome não encontrado
Ácidos graxos saturados,g,"3,48","0,87","0,21",BRC0771F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,24","1,06","0,25",BRC0771F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,58","0,40","0,09",BRC0771F,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,03","0,01",BRC0771F,Nome não encontrado
Cálcio,mg,"8,42","2,11","0,51",BRC0771F,Nome não encontrado
Ferro,mg,"6,50","1,62","0,39",BRC0771F,Nome não encontrado
Sódio,mg,307,"76,9","18,4",BRC0771F,Nome não encontrado
Magnésio,mg,"20,0","5,01","1,20",BRC0771F,Nome não encontrado
Fósforo,mg,274,"68,6","16,5",BRC0771F,Nome não encontrado
Potássio,mg,241,"60,4","14,5",BRC0771F,Nome não encontrado
Manganês,mg,"0,06","0,01","0,00",BRC0771F,Nome não encontrado
Zinco,mg,"3,43","0,86","0,21",BRC0771F,Nome não encontrado
Cobre,mg,"0,30","0,08","0,02",BRC0771F,Nome não encontrado
Selênio,mcg,"5,91","1,48","0,35",BRC0771F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,BRC0771F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,BRC0771F,Nome não encontrado
Vitamina D,mcg,,,,BRC0771F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0771F,Nome não encontrado
Tiamina,mg,"0,20","0,05","0,01",BRC0771F,Nome não encontrado
Riboflavina,mg,"0,19","0,05","0,01",BRC0771F,Nome não encontrado
Niacina,mg,"9,66","2,41","0,58",BRC0771F,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0771F,Nome não encontrado
Vitamina B12,mcg,"7,01","1,75","0,42",BRC0771F,Nome não encontrado
Vitamina C,mg,"3,30","0,82","0,20",BRC0771F,Nome não encontrado
Equivalente de folato,mcg,"64,3","16,1","3,86",BRC0771F,Nome não encontrado
Sal de adição,g,"0,45","0,11","0,03",BRC0771F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0771F,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0771F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0771F,Nome não encontrado
Proteína animal,g,"22,3","5,58","1,34",BRC0771F,Nome não encontrado
