componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,232,464,BRC0087H,Nome não encontrado
Energia,kcal,55,109,BRC0087H,Nome não encontrado
Umidade,g,"85,7",171,BRC0087H,Nome não encontrado
Carboidrato total,g,"11,1","22,3",BRC0087H,Nome não encontrado
Carboidrato disponível,g,"10,6","21,2",BRC0087H,Nome não encontrado
Proteína,g,"2,23","4,46",BRC0087H,Nome não encontrado
Lipídios,g,"0,27","0,55",BRC0087H,Nome não encontrado
Fibra alimentar,g,"0,53","1,06",BRC0087H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0087H,Nome não encontrado
Cinzas,g,"0,68","1,35",BRC0087H,Nome não encontrado
Colesterol,mg,"28,4","56,8",BRC0087H,Nome não encontrado
Ácidos graxos saturados,g,"0,18","0,36",BRC0087H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,06","0,12",BRC0087H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02",BRC0087H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0087H,Nome não encontrado
Cálcio,mg,103,207,BRC0087H,Nome não encontrado
Ferro,mg,"0,21","0,43",BRC0087H,Nome não encontrado
Sódio,mg,"35,6","71,2",BRC0087H,Nome não encontrado
Magnésio,mg,"11,6","23,3",BRC0087H,Nome não encontrado
Fósforo,mg,"61,4",122,BRC0087H,Nome não encontrado
Potássio,mg,149,299,BRC0087H,Nome não encontrado
Manganês,mg,"0,31","0,61",BRC0087H,Nome não encontrado
Zinco,mg,"0,28","0,57",BRC0087H,Nome não encontrado
Cobre,mg,"0,02","0,04",BRC0087H,Nome não encontrado
Selênio,mcg,"0,03","0,06",BRC0087H,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0087H,Nome não encontrado
Vitamina A (RAE),mcg,"6,18","12,4",BRC0087H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0087H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,12",BRC0087H,Nome não encontrado
Tiamina,mg,"0,03","0,06",BRC0087H,Nome não encontrado
Riboflavina,mg,"0,20","0,40",BRC0087H,Nome não encontrado
Niacina,mg,"1,07","2,13",BRC0087H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0087H,Nome não encontrado
Vitamina B12,mcg,"0,37","0,74",BRC0087H,Nome não encontrado
Vitamina C,mg,"0,04","0,08",BRC0087H,Nome não encontrado
Equivalente de folato,mcg,"4,26","8,52",BRC0087H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0087H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0087H,Nome não encontrado
Gordura de adição,g,-,-,BRC0087H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0087H,Nome não encontrado
Proteína animal,g,-,-,BRC0087H,Nome não encontrado
