componente,unidade,Valor por 100g,Colher sopa cheia (36 g),Colher sopa rasa (16 g),Escumadeira cheia (100 g),Escumadeira rasa (70 g),codigo_alimento,nome_alimento
Energia,kJ,126,45,20,126,88,BRC0064B,Nome não encontrado
Energia,kcal,30,10,4,30,21,BRC0064B,Nome não encontrado
Umidade,g,"90,9","32,7","14,5","90,9","63,6",BRC0064B,Nome não encontrado
Carboidrato total,g,"7,87","2,83","1,26","7,87","5,51",BRC0064B,Nome não encontrado
Carboidrato disponível,g,"5,26","1,89","0,84","5,26","3,68",BRC0064B,Nome não encontrado
Proteína,g,"0,64","0,23","0,10","0,64","0,45",BRC0064B,Nome não encontrado
Lipídios,g,"0,14","0,05","0,02","0,14","0,10",BRC0064B,Nome não encontrado
Fibra alimentar,g,"2,61","0,94","0,42","2,61","1,82",BRC0064B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0064B,Nome não encontrado
Cinzas,g,"0,50","0,18","0,08","0,50","0,35",BRC0064B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0064B,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,01","0,00","0,03","0,02",BRC0064B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00","0,00","0,01","0,01",BRC0064B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,06","0,02","0,01","0,06","0,04",BRC0064B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0064B,Nome não encontrado
Cálcio,mg,"18,7","6,72","2,99","18,7","13,1",BRC0064B,Nome não encontrado
Ferro,mg,"0,17","0,06","0,03","0,17","0,12",BRC0064B,Nome não encontrado
Sódio,mg,"0,50","0,18","0,08","0,50","0,35",BRC0064B,Nome não encontrado
Magnésio,mg,"9,39","3,38","1,50","9,39","6,57",BRC0064B,Nome não encontrado
Fósforo,mg,"32,7","11,8","5,24","32,7","22,9",BRC0064B,Nome não encontrado
Potássio,mg,212,"76,6","34,1",212,149,BRC0064B,Nome não encontrado
Manganês,mg,"0,11","0,04","0,02","0,11","0,08",BRC0064B,Nome não encontrado
Zinco,mg,"0,18","0,06","0,03","0,18","0,12",BRC0064B,Nome não encontrado
Cobre,mg,"0,10","0,03","0,02","0,10","0,07",BRC0064B,Nome não encontrado
Selênio,mcg,"1,10","0,40","0,18","1,10","0,77",BRC0064B,Nome não encontrado
Vitamina A (RE),mcg,353,127,"56,5",353,247,BRC0064B,Nome não encontrado
Vitamina A (RAE),mcg,176,"63,6","28,3",176,123,BRC0064B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0064B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,02","0,01","0,04","0,03",BRC0064B,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,BRC0064B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0064B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0064B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01","0,03","0,02",BRC0064B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0064B,Nome não encontrado
Vitamina C,mg,"17,5","6,32","2,81","17,5","12,3",BRC0064B,Nome não encontrado
Equivalente de folato,mcg,"12,2","4,39","1,95","12,2","8,54",BRC0064B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0064B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0064B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0064B,Nome não encontrado
Proteína vegetal,g,"0,64","0,23","0,10","0,64","0,45",BRC0064B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0064B,Nome não encontrado
