componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,159,381,262,BRC0136C,Nome não encontrado
Energia,kcal,37,89,61,BRC0136C,Nome não encontrado
Umidade,g,"90,5",217,149,BRC0136C,Nome não encontrado
Carboidrato total,g,"9,28","22,3","15,3",BRC0136C,Nome não encontrado
Carboidrato disponível,g,"9,19","22,1","15,2",BRC0136C,Nome não encontrado
Proteína,g,"0,07","0,16","0,11",BRC0136C,Nome não encontrado
Lipídios,g,"0,03","0,07","0,05",BRC0136C,Nome não encontrado
Fibra alimentar,g,"0,09","0,21","0,14",BRC0136C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0136C,Nome não encontrado
Cinzas,g,"0,09","0,21","0,14",BRC0136C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0136C,Nome não encontrado
Ácidos graxos saturados,g,,,,BRC0136C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,,BRC0136C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,,BRC0136C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0136C,Nome não encontrado
Cálcio,mg,"0,39","0,92","0,64",BRC0136C,Nome não encontrado
Ferro,mg,"0,04","0,08","0,06",BRC0136C,Nome não encontrado
Sódio,mg,"6,25","15,0","10,3",BRC0136C,Nome não encontrado
Magnésio,mg,"1,23","2,95","2,03",BRC0136C,Nome não encontrado
Fósforo,mg,"1,41","3,39","2,33",BRC0136C,Nome não encontrado
Potássio,mg,"15,4","37,0","25,4",BRC0136C,Nome não encontrado
Manganês,mg,"0,01","0,02","0,02",BRC0136C,Nome não encontrado
Zinco,mg,"0,01","0,03","0,02",BRC0136C,Nome não encontrado
Cobre,mg,"0,01","0,01","0,01",BRC0136C,Nome não encontrado
Selênio,mcg,"0,05","0,11","0,08",BRC0136C,Nome não encontrado
Vitamina A (RE),mcg,"2,05","4,93","3,39",BRC0136C,Nome não encontrado
Vitamina A (RAE),mcg,"1,03","2,46","1,69",BRC0136C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0136C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0136C,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0136C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0136C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0136C,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0136C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0136C,Nome não encontrado
Vitamina C,mg,"22,2","53,3","36,6",BRC0136C,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0136C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0136C,Nome não encontrado
Açúcar de adição,g,"5,00","12,0","8,25",BRC0136C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0136C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0136C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0136C,Nome não encontrado
