componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,435,435,BRC0643A,Nome não encontrado
Energia,kcal,102,102,BRC0643A,Nome não encontrado
Umidade,g,"76,3","76,3",BRC0643A,Nome não encontrado
Carboidrato total,g,"13,2","13,2",BRC0643A,Nome não encontrado
Carboidrato disponível,g,"11,6","11,6",BRC0643A,Nome não encontrado
Proteína,g,"5,15","5,15",BRC0643A,Nome não encontrado
Lipídios,g,"3,58","3,58",BRC0643A,Nome não encontrado
Fibra alimentar,g,"1,63","1,63",BRC0643A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0643A,Nome não encontrado
Cinzas,g,"1,74","1,74",BRC0643A,Nome não encontrado
Colesterol,mg,"15,4","15,4",BRC0643A,Nome não encontrado
Ácidos graxos saturados,g,"1,33","1,33",BRC0643A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,96","0,96",BRC0643A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,01","1,01",BRC0643A,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,05",BRC0643A,Nome não encontrado
Cálcio,mg,"70,5","70,5",BRC0643A,Nome não encontrado
Ferro,mg,"0,81","0,81",BRC0643A,Nome não encontrado
Sódio,mg,428,428,BRC0643A,Nome não encontrado
Magnésio,mg,"14,8","14,8",BRC0643A,Nome não encontrado
Fósforo,mg,"60,9","60,9",BRC0643A,Nome não encontrado
Potássio,mg,164,164,BRC0643A,Nome não encontrado
Manganês,mg,"0,22","0,22",BRC0643A,Nome não encontrado
Zinco,mg,"0,32","0,32",BRC0643A,Nome não encontrado
Cobre,mg,"0,07","0,07",BRC0643A,Nome não encontrado
Selênio,mcg,"1,12","1,12",BRC0643A,Nome não encontrado
Vitamina A (RE),mcg,"86,1","86,1",BRC0643A,Nome não encontrado
Vitamina A (RAE),mcg,"59,0","59,0",BRC0643A,Nome não encontrado
Vitamina D,mcg,"0,05","0,05",BRC0643A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,80","0,80",BRC0643A,Nome não encontrado
Tiamina,mg,"0,06","0,06",BRC0643A,Nome não encontrado
Riboflavina,mg,"0,07","0,07",BRC0643A,Nome não encontrado
Niacina,mg,"1,19","1,19",BRC0643A,Nome não encontrado
Vitamina B6,mg,"0,03","0,03",BRC0643A,Nome não encontrado
Vitamina B12,mcg,"0,08","0,08",BRC0643A,Nome não encontrado
Vitamina C,mg,"6,21","6,21",BRC0643A,Nome não encontrado
Equivalente de folato,mcg,"54,4","54,4",BRC0643A,Nome não encontrado
Sal de adição,g,"0,47","0,47",BRC0643A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0643A,Nome não encontrado
Gordura de adição,g,-,-,BRC0643A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0643A,Nome não encontrado
Proteína animal,g,-,-,BRC0643A,Nome não encontrado
