componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Dose/ Taça (100 mL),codigo_alimento,nome_alimento
Energia,kJ,359,860,591,358,BRC0039H,Nome não encontrado
Energia,kcal,86,207,142,86,BRC0039H,Nome não encontrado
Umidade,g,"85,2",204,140,"85,2",BRC0039H,Nome não encontrado
Carboidrato total,g,"2,07","4,97","3,42","2,07",BRC0039H,Nome não encontrado
Carboidrato disponível,g,"2,07","4,97","3,42","2,07",BRC0039H,Nome não encontrado
Proteína,g,"0,08","0,18","0,13","0,08",BRC0039H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0039H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0039H,Nome não encontrado
Álcool,g,"11,1","26,7","18,3","11,1",BRC0039H,Nome não encontrado
Cinzas,g,"1,56","3,75","2,58","1,56",BRC0039H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0039H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0039H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0039H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0039H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0039H,Nome não encontrado
Cálcio,mg,"11,3","27,0","18,6","11,3",BRC0039H,Nome não encontrado
Ferro,mg,"0,19","0,45","0,31","0,19",BRC0039H,Nome não encontrado
Sódio,mg,"0,43","1,03","0,71","0,43",BRC0039H,Nome não encontrado
Magnésio,mg,"9,20","22,1","15,2","9,20",BRC0039H,Nome não encontrado
Fósforo,mg,"52,2",125,"86,2","52,2",BRC0039H,Nome não encontrado
Potássio,mg,122,294,202,122,BRC0039H,Nome não encontrado
Manganês,mg,"0,32","0,77","0,53","0,32",BRC0039H,Nome não encontrado
Zinco,mg,"0,13","0,30","0,21","0,13",BRC0039H,Nome não encontrado
Cobre,mg,,,,,BRC0039H,Nome não encontrado
Selênio,mcg,,,,,BRC0039H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0039H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0039H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0039H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0039H,Nome não encontrado
Tiamina,mg,"0,01","0,01","0,01","0,01",BRC0039H,Nome não encontrado
Riboflavina,mg,"0,03","0,06","0,04","0,03",BRC0039H,Nome não encontrado
Niacina,mg,"0,18","0,44","0,30","0,18",BRC0039H,Nome não encontrado
Vitamina B6,mg,"0,06","0,14","0,10","0,06",BRC0039H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0039H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0039H,Nome não encontrado
Equivalente de folato,mcg,,,,,BRC0039H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0039H,Nome não encontrado
Açúcar de adição,g,,,,,BRC0039H,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0039H,Nome não encontrado
Proteína vegetal,g,"0,08","0,18","0,13","0,08",BRC0039H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0039H,Nome não encontrado
