componente,unidade,Valor por 100g,Escumadeira rasa (60 g),codigo_alimento,nome_alimento
Energia,kJ,684,410,BRC0464B,Nome não encontrado
Energia,kcal,162,97,BRC0464B,Nome não encontrado
Umidade,g,"60,6","36,4",BRC0464B,Nome não encontrado
Carboidrato total,g,"30,6","18,4",BRC0464B,Nome não encontrado
Carboidrato disponível,g,"28,7","17,2",BRC0464B,Nome não encontrado
Proteína,g,"5,01","3,01",BRC0464B,Nome não encontrado
Lipídios,g,"2,60","1,56",BRC0464B,Nome não encontrado
Fibra alimentar,g,"1,93","1,16",BRC0464B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0464B,Nome não encontrado
Cinzas,g,"1,18","0,71",BRC0464B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0464B,Nome não encontrado
Ácidos graxos saturados,g,"0,60","0,36",BRC0464B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,62","0,37",BRC0464B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,24","0,74",BRC0464B,Nome não encontrado
Ácidos graxos trans,g,traços,traços,BRC0464B,Nome não encontrado
Cálcio,mg,"11,4","6,85",BRC0464B,Nome não encontrado
Ferro,mg,"1,41","0,84",BRC0464B,Nome não encontrado
Sódio,mg,"86,5","51,9",BRC0464B,Nome não encontrado
Magnésio,mg,"17,4","10,5",BRC0464B,Nome não encontrado
Fósforo,mg,"61,9","37,1",BRC0464B,Nome não encontrado
Potássio,mg,191,115,BRC0464B,Nome não encontrado
Manganês,mg,"0,26","0,15",BRC0464B,Nome não encontrado
Zinco,mg,"0,43","0,26",BRC0464B,Nome não encontrado
Cobre,mg,"0,11","0,06",BRC0464B,Nome não encontrado
Selênio,mcg,"1,19","0,72",BRC0464B,Nome não encontrado
Vitamina A (RE),mcg,"39,6","23,8",BRC0464B,Nome não encontrado
Vitamina A (RAE),mcg,"26,0","15,6",BRC0464B,Nome não encontrado
Vitamina D,mcg,"0,02","0,01",BRC0464B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,33","0,20",BRC0464B,Nome não encontrado
Tiamina,mg,"0,09","0,05",BRC0464B,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0464B,Nome não encontrado
Niacina,mg,traços,traços,BRC0464B,Nome não encontrado
Vitamina B6,mg,"0,04","0,03",BRC0464B,Nome não encontrado
Vitamina B12,mcg,"0,01","0,00",BRC0464B,Nome não encontrado
Vitamina C,mg,"4,07","2,44",BRC0464B,Nome não encontrado
Equivalente de folato,mcg,"48,2","28,9",BRC0464B,Nome não encontrado
Sal de adição,g,"0,47","0,28",BRC0464B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0464B,Nome não encontrado
Gordura de adição,g,-,-,BRC0464B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0464B,Nome não encontrado
Proteína animal,g,-,-,BRC0464B,Nome não encontrado
