componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,160,383,263,BRC0040C,Nome não encontrado
Energia,kcal,38,90,61,BRC0040C,Nome não encontrado
Umidade,g,"90,2",216,148,BRC0040C,Nome não encontrado
Carboidrato total,g,"8,74","21,0","14,4",BRC0040C,Nome não encontrado
Carboidrato disponível,g,"8,74","21,0","14,4",BRC0040C,Nome não encontrado
Proteína,g,"0,65","1,56","1,08",BRC0040C,Nome não encontrado
Lipídios,g,traços,traços,traços,BRC0040C,Nome não encontrado
Fibra alimentar,g,traços,traços,traços,BRC0040C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0040C,Nome não encontrado
Cinzas,g,"0,36","0,86","0,59",BRC0040C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0040C,Nome não encontrado
Ácidos graxos saturados,g,traços,traços,traços,BRC0040C,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0040C,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,traços,BRC0040C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0040C,Nome não encontrado
Cálcio,mg,"5,93","14,2","9,78",BRC0040C,Nome não encontrado
Ferro,mg,"0,06","0,15","0,10",BRC0040C,Nome não encontrado
Sódio,mg,traços,traços,traços,BRC0040C,Nome não encontrado
Magnésio,mg,"7,80","18,7","12,9",BRC0040C,Nome não encontrado
Fósforo,mg,"21,9","52,6","36,2",BRC0040C,Nome não encontrado
Potássio,mg,172,414,284,BRC0040C,Nome não encontrado
Manganês,mg,"0,02","0,05","0,03",BRC0040C,Nome não encontrado
Zinco,mg,traços,traços,traços,BRC0040C,Nome não encontrado
Cobre,mg,"0,02","0,05","0,03",BRC0040C,Nome não encontrado
Selênio,mcg,"0,30","0,72","0,50",BRC0040C,Nome não encontrado
Vitamina A (RE),mcg,"2,58","6,20","4,26",BRC0040C,Nome não encontrado
Vitamina A (RAE),mcg,"1,29","3,10","2,13",BRC0040C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0040C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,traços,traços,traços,BRC0040C,Nome não encontrado
Tiamina,mg,"0,03","0,06","0,04",BRC0040C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0040C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0040C,Nome não encontrado
Vitamina B6,mg,"0,02","0,05","0,03",BRC0040C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0040C,Nome não encontrado
Vitamina C,mg,"94,5",226,155,BRC0040C,Nome não encontrado
Equivalente de folato,mcg,"25,0","60,0","41,3",BRC0040C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0040C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0040C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0040C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0040C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0040C,Nome não encontrado
