componente,unidade,Valor por 100g,Colher servir cheia (95 g),Colher servir rasa (60 g),Colher sopa cheia (60 g),Colher sopa rasa (30 g),Escumadeira cheia (110 g),Escumadeira rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,198,188,118,118,59,218,158,BRC0279B,Nome não encontrado
Energia,kcal,48,45,28,28,14,52,38,BRC0279B,Nome não encontrado
Umidade,g,"87,8","83,4","52,7","52,7","26,3","96,6","70,2",BRC0279B,Nome não encontrado
Carboidrato total,g,"7,25","6,89","4,35","4,35","2,18","7,98","5,80",BRC0279B,Nome não encontrado
Carboidrato disponível,g,"1,60","1,52","0,96","0,96","0,48","1,76","1,28",BRC0279B,Nome não encontrado
Proteína,g,"1,64","1,56","0,99","0,99","0,49","1,81","1,31",BRC0279B,Nome não encontrado
Lipídios,g,"2,65","2,52","1,59","1,59","0,79","2,91","2,12",BRC0279B,Nome não encontrado
Fibra alimentar,g,"5,65","5,37","3,39","3,39","1,70","6,22","4,52",BRC0279B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0279B,Nome não encontrado
Cinzas,g,"0,65","0,62","0,39","0,39","0,20","0,72","0,52",BRC0279B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0279B,Nome não encontrado
Ácidos graxos saturados,g,"0,41","0,39","0,25","0,25","0,12","0,45","0,33",BRC0279B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,59","0,56","0,35","0,35","0,18","0,65","0,47",BRC0279B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,56","1,48","0,94","0,94","0,47","1,72","1,25",BRC0279B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,01","0,01","0,00","0,01","0,01",BRC0279B,Nome não encontrado
Cálcio,mg,"22,2","21,1","13,3","13,3","6,67","24,4","17,8",BRC0279B,Nome não encontrado
Ferro,mg,"0,30","0,28","0,18","0,18","0,09","0,33","0,24",BRC0279B,Nome não encontrado
Sódio,mg,traços,traços,traços,traços,traços,traços,traços,BRC0279B,Nome não encontrado
Magnésio,mg,"14,5","13,8","8,70","8,70","4,35","15,9","11,6",BRC0279B,Nome não encontrado
Fósforo,mg,"30,6","29,1","18,4","18,4","9,18","33,7","24,5",BRC0279B,Nome não encontrado
Potássio,mg,124,118,"74,8","74,8","37,4",137,"99,8",BRC0279B,Nome não encontrado
Manganês,mg,"0,15","0,14","0,09","0,09","0,04","0,16","0,12",BRC0279B,Nome não encontrado
Zinco,mg,"0,12","0,12","0,07","0,07","0,04","0,14","0,10",BRC0279B,Nome não encontrado
Cobre,mg,"0,12","0,11","0,07","0,07","0,04","0,13","0,10",BRC0279B,Nome não encontrado
Selênio,mcg,"0,18","0,17","0,11","0,11","0,05","0,20","0,14",BRC0279B,Nome não encontrado
Vitamina A (RE),mcg,"14,4","13,7","8,64","8,64","4,32","15,8","11,5",BRC0279B,Nome não encontrado
Vitamina A (RAE),mcg,"7,20","6,84","4,32","4,32","2,16","7,92","5,76",BRC0279B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0279B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,72","0,68","0,43","0,43","0,22","0,79","0,58",BRC0279B,Nome não encontrado
Tiamina,mg,"0,05","0,05","0,03","0,03","0,02","0,06","0,04",BRC0279B,Nome não encontrado
Riboflavina,mg,"0,03","0,03","0,02","0,02","0,01","0,03","0,02",BRC0279B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0279B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,traços,traços,BRC0279B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0279B,Nome não encontrado
Vitamina C,mg,"5,17","4,91","3,10","3,10","1,55","5,69","4,14",BRC0279B,Nome não encontrado
Equivalente de folato,mcg,"14,0","13,3","8,40","8,40","4,20","15,4","11,2",BRC0279B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0279B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0279B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,BRC0279B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,BRC0279B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,BRC0279B,Nome não encontrado
