componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,395,790,BRC0151H,Nome não encontrado
Energia,kcal,94,188,BRC0151H,Nome não encontrado
Umidade,g,"80,8",161,BRC0151H,Nome não encontrado
Carboidrato total,g,"12,7","25,4",BRC0151H,Nome não encontrado
Carboidrato disponível,g,"12,4","24,9",BRC0151H,Nome não encontrado
Proteína,g,"0,11","0,22",BRC0151H,Nome não encontrado
Lipídios,g,"0,05","0,11",BRC0151H,Nome não encontrado
Fibra alimentar,g,"0,27","0,54",BRC0151H,Nome não encontrado
Álcool,g,"6,12","12,2",BRC0151H,Nome não encontrado
Cinzas,g,"0,19","0,38",BRC0151H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0151H,Nome não encontrado
Ácidos graxos saturados,g,"0,02","0,04",BRC0151H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,01",BRC0151H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,01",BRC0151H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0151H,Nome não encontrado
Cálcio,mg,"12,5","25,1",BRC0151H,Nome não encontrado
Ferro,mg,"0,49","0,98",BRC0151H,Nome não encontrado
Sódio,mg,"3,27","6,54",BRC0151H,Nome não encontrado
Magnésio,mg,"8,15","16,3",BRC0151H,Nome não encontrado
Fósforo,mg,"6,69","13,4",BRC0151H,Nome não encontrado
Potássio,mg,"89,3",178,BRC0151H,Nome não encontrado
Manganês,mg,"0,49","0,97",BRC0151H,Nome não encontrado
Zinco,mg,"0,07","0,14",BRC0151H,Nome não encontrado
Cobre,mg,"0,04","0,07",BRC0151H,Nome não encontrado
Selênio,mcg,"0,15","0,29",BRC0151H,Nome não encontrado
Vitamina A (RE),mcg,"0,32","0,64",BRC0151H,Nome não encontrado
Vitamina A (RAE),mcg,"0,16","0,32",BRC0151H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0151H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,09",BRC0151H,Nome não encontrado
Tiamina,mg,traços,,BRC0151H,Nome não encontrado
Riboflavina,mg,"0,02","0,03",BRC0151H,Nome não encontrado
Niacina,mg,"0,11","0,21",BRC0151H,Nome não encontrado
Vitamina B6,mg,"0,04","0,07",BRC0151H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0151H,Nome não encontrado
Vitamina C,mg,"0,10","0,20",BRC0151H,Nome não encontrado
Equivalente de folato,mcg,"0,83","1,66",BRC0151H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0151H,Nome não encontrado
Açúcar de adição,g,"10,00","20,0",BRC0151H,Nome não encontrado
Gordura de adição,g,-,-,BRC0151H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0151H,Nome não encontrado
Proteína animal,g,-,-,BRC0151H,Nome não encontrado
