componente,unidade,Valor por 100g,Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,414,331,BRC0256T,Nome não encontrado
Energia,kcal,98,78,BRC0256T,Nome não encontrado
Umidade,g,"71,6","57,3",BRC0256T,Nome não encontrado
Carboidrato total,g,"19,5","15,6",BRC0256T,Nome não encontrado
Carboidrato disponível,g,"13,1","10,5",BRC0256T,Nome não encontrado
Proteína,g,"7,26","5,81",BRC0256T,Nome não encontrado
Lipídios,g,"0,46","0,36",BRC0256T,Nome não encontrado
Fibra alimentar,g,"6,41","5,13",BRC0256T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0256T,Nome não encontrado
Cinzas,g,"1,17","0,94",BRC0256T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0256T,Nome não encontrado
Ácidos graxos saturados,g,"0,09","0,07",BRC0256T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,09","0,07",BRC0256T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,26","0,21",BRC0256T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0256T,Nome não encontrado
Cálcio,mg,"19,0","15,2",BRC0256T,Nome não encontrado
Ferro,mg,"1,74","1,39",BRC0256T,Nome não encontrado
Sódio,mg,201,160,BRC0256T,Nome não encontrado
Magnésio,mg,"25,4","20,3",BRC0256T,Nome não encontrado
Fósforo,mg,121,"97,4",BRC0256T,Nome não encontrado
Potássio,mg,258,206,BRC0256T,Nome não encontrado
Manganês,mg,"0,34","0,27",BRC0256T,Nome não encontrado
Zinco,mg,"1,33","1,06",BRC0256T,Nome não encontrado
Cobre,mg,"0,21","0,16",BRC0256T,Nome não encontrado
Selênio,mcg,"0,03","0,02",BRC0256T,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0256T,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0256T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0256T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,13","0,11",BRC0256T,Nome não encontrado
Tiamina,mg,"0,04","0,03",BRC0256T,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0256T,Nome não encontrado
Niacina,mg,traços,traços,BRC0256T,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0256T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0256T,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0256T,Nome não encontrado
Equivalente de folato,mcg,165,132,BRC0256T,Nome não encontrado
Sal de adição,g,"0,45","0,36",BRC0256T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0256T,Nome não encontrado
Gordura de adição,g,-,-,BRC0256T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0256T,Nome não encontrado
Proteína animal,g,-,-,BRC0256T,Nome não encontrado
