componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (80 g),codigo_alimento,nome_alimento
Energia,kJ,698,558,BRC0107C,Nome não encontrado
Energia,kcal,165,131,BRC0107C,Nome não encontrado
Umidade,g,"57,4","45,9",BRC0107C,Nome não encontrado
Carboidrato total,g,"39,7","31,8",BRC0107C,Nome não encontrado
Carboidrato disponível,g,"37,9","30,3",BRC0107C,Nome não encontrado
Proteína,g,"1,69","1,35",BRC0107C,Nome não encontrado
Lipídios,g,"0,28","0,23",BRC0107C,Nome não encontrado
Fibra alimentar,g,"1,80","1,44",BRC0107C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0107C,Nome não encontrado
Cinzas,g,"0,92","0,74",BRC0107C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0107C,Nome não encontrado
Ácidos graxos saturados,g,"0,09","0,08",BRC0107C,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,BRC0107C,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,BRC0107C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0107C,Nome não encontrado
Cálcio,mg,"3,67","2,94",BRC0107C,Nome não encontrado
Ferro,mg,"0,35","0,28",BRC0107C,Nome não encontrado
Sódio,mg,traços,traços,BRC0107C,Nome não encontrado
Magnésio,mg,"34,9","27,9",BRC0107C,Nome não encontrado
Fósforo,mg,"30,1","24,1",BRC0107C,Nome não encontrado
Potássio,mg,348,278,BRC0107C,Nome não encontrado
Manganês,mg,"0,99","0,79",BRC0107C,Nome não encontrado
Zinco,mg,"0,19","0,15",BRC0107C,Nome não encontrado
Cobre,mg,"0,06","0,05",BRC0107C,Nome não encontrado
Selênio,mcg,"0,04","0,03",BRC0107C,Nome não encontrado
Vitamina A (RE),mcg,239,191,BRC0107C,Nome não encontrado
Vitamina A (RAE),mcg,119,"95,9",BRC0107C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0107C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,07",BRC0107C,Nome não encontrado
Tiamina,mg,"0,03","0,02",BRC0107C,Nome não encontrado
Riboflavina,mg,"0,02","0,02",BRC0107C,Nome não encontrado
Niacina,mg,traços,traços,BRC0107C,Nome não encontrado
Vitamina B6,mg,"0,16","0,13",BRC0107C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0107C,Nome não encontrado
Vitamina C,mg,"14,9","11,9",BRC0107C,Nome não encontrado
Equivalente de folato,mcg,"20,4","16,3",BRC0107C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0107C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0107C,Nome não encontrado
Gordura de adição,g,-,-,BRC0107C,Nome não encontrado
Proteína vegetal,g,-,-,BRC0107C,Nome não encontrado
Proteína animal,g,-,-,BRC0107C,Nome não encontrado
