componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,666,399,299,665,BRC0416E,Nome não encontrado
Energia,kcal,159,95,71,158,BRC0416E,Nome não encontrado
Umidade,g,"67,8","40,7","30,5","67,8",BRC0416E,Nome não encontrado
Carboidrato total,g,"2,53","1,52","1,14","2,53",BRC0416E,Nome não encontrado
Carboidrato disponível,g,"2,48","1,49","1,12","2,48",BRC0416E,Nome não encontrado
Proteína,g,"19,7","11,8","8,86","19,7",BRC0416E,Nome não encontrado
Lipídios,g,"7,80","4,68","3,51","7,80",BRC0416E,Nome não encontrado
Fibra alimentar,g,"0,05","0,03","0,02","0,05",BRC0416E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0416E,Nome não encontrado
Cinzas,g,"2,21","1,32","0,99","2,21",BRC0416E,Nome não encontrado
Colesterol,mg,128,"77,1","57,9",128,BRC0416E,Nome não encontrado
Ácidos graxos saturados,g,"4,53","2,72","2,04","4,53",BRC0416E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,60","0,96","0,72","1,60",BRC0416E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,99","0,59","0,44","0,99",BRC0416E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,01",BRC0416E,Nome não encontrado
Cálcio,mg,213,127,"95,9",213,BRC0416E,Nome não encontrado
Ferro,mg,"1,55","0,93","0,70","1,55",BRC0416E,Nome não encontrado
Sódio,mg,122,"73,5","55,1",122,BRC0416E,Nome não encontrado
Magnésio,mg,"34,3","20,6","15,4","34,3",BRC0416E,Nome não encontrado
Fósforo,mg,344,206,154,344,BRC0416E,Nome não encontrado
Potássio,mg,379,227,170,379,BRC0416E,Nome não encontrado
Manganês,mg,"0,11","0,07","0,05","0,11",BRC0416E,Nome não encontrado
Zinco,mg,"1,28","0,77","0,58","1,28",BRC0416E,Nome não encontrado
Cobre,mg,"0,15","0,09","0,07","0,15",BRC0416E,Nome não encontrado
Selênio,mcg,"53,1","31,9","23,9","53,1",BRC0416E,Nome não encontrado
Vitamina A (RE),mcg,"0,48","0,29","0,22","0,48",BRC0416E,Nome não encontrado
Vitamina A (RAE),mcg,"0,24","0,14","0,11","0,24",BRC0416E,Nome não encontrado
Vitamina D,mcg,"2,06","1,24","0,93","2,06",BRC0416E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,25","0,75","0,56","1,25",BRC0416E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01","0,02",BRC0416E,Nome não encontrado
Riboflavina,mg,"0,14","0,08","0,06","0,14",BRC0416E,Nome não encontrado
Niacina,mg,"7,50","4,50","3,37","7,50",BRC0416E,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0416E,Nome não encontrado
Vitamina B12,mcg,"5,13","3,08","2,31","5,13",BRC0416E,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0416E,Nome não encontrado
Equivalente de folato,mcg,"10,5","6,28","4,71","10,5",BRC0416E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0416E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0416E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0416E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0416E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0416E,Nome não encontrado
