componente,unidade,Valor por 100g,Colher chá cheia (8 g),Colher chá rasa (4 g),Colher sobremesa cheia (23 g),Colher sobremesa rasa (13 g),Colher sopa cheia (32 g),Colher sopa rasa (19 g),codigo_alimento,nome_alimento
Energia,kJ,1758,140,70,404,228,562,333,BRC0005D,Nome não encontrado
Energia,kcal,427,34,17,98,55,136,81,BRC0005D,Nome não encontrado
Umidade,g,"50,5","4,04","2,02","11,6","6,56","16,2","9,59",BRC0005D,Nome não encontrado
Carboidrato total,g,"1,21","0,10","0,05","0,28","0,16","0,39","0,23",BRC0005D,Nome não encontrado
Carboidrato disponível,g,"1,21","0,10","0,05","0,28","0,16","0,39","0,23",BRC0005D,Nome não encontrado
Proteína,g,"0,12","0,01","0,00","0,03","0,02","0,04","0,02",BRC0005D,Nome não encontrado
Lipídios,g,"46,9","3,75","1,88","10,8","6,10","15,0","8,91",BRC0005D,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005D,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005D,Nome não encontrado
Cinzas,g,"1,29","0,10","0,05","0,30","0,17","0,41","0,25",BRC0005D,Nome não encontrado
Colesterol,mg,114,"9,13","4,57","26,3","14,8","36,5","21,7",BRC0005D,Nome não encontrado
Ácidos graxos saturados,g,"28,0","2,24","1,12","6,44","3,64","8,96","5,32",BRC0005D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"11,6","0,93","0,46","2,67","1,51","3,72","2,21",BRC0005D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,68","0,05","0,03","0,16","0,09","0,22","0,13",BRC0005D,Nome não encontrado
Ácidos graxos trans,g,"1,88","0,15","0,08","0,43","0,24","0,60","0,36",BRC0005D,Nome não encontrado
Cálcio,mg,"4,30","0,34","0,17","0,99","0,56","1,38","0,82",BRC0005D,Nome não encontrado
Ferro,mg,traços,traços,traços,traços,traços,traços,traços,BRC0005D,Nome não encontrado
Sódio,mg,390,"31,2","15,6","89,7","50,7",124,"74,1",BRC0005D,Nome não encontrado
Magnésio,mg,"0,86","0,07","0,03","0,20","0,11","0,28","0,16",BRC0005D,Nome não encontrado
Fósforo,mg,"16,3","1,30","0,65","3,75","2,12","5,21","3,09",BRC0005D,Nome não encontrado
Potássio,mg,"8,69","0,70","0,35","2,00","1,13","2,78","1,65",BRC0005D,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,traços,traços,traços,BRC0005D,Nome não encontrado
Zinco,mg,traços,traços,traços,traços,traços,traços,traços,BRC0005D,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005D,Nome não encontrado
Selênio,mcg,,,,,,,,BRC0005D,Nome não encontrado
Vitamina A (RE),mcg,,,,,,,,BRC0005D,Nome não encontrado
Vitamina A (RAE),mcg,,,,,,,,BRC0005D,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,34","0,11","0,05","0,31","0,17","0,43","0,25",BRC0005D,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0005D,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0005D,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0005D,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005D,Nome não encontrado
Vitamina B12,mcg,"0,10","0,01","0,00","0,02","0,01","0,03","0,02",BRC0005D,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,traços,traços,BRC0005D,Nome não encontrado
Equivalente de folato,mcg,"1,81","0,14","0,07","0,42","0,24","0,58","0,34",BRC0005D,Nome não encontrado
Sal de adição,g,,,,,,,,BRC0005D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005D,Nome não encontrado
Gordura de adição,g,"46,9","3,75","1,88","10,8","6,10","15,0","8,91",BRC0005D,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0005D,Nome não encontrado
Proteína animal,g,"0,12","0,01","0,00","0,03","0,02","0,04","0,02",BRC0005D,Nome não encontrado
