componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (27 g),Concha cheia (85 g),codigo_alimento,nome_alimento
Energia,kJ,451,157,121,383,BRC0078T,Nome não encontrado
Energia,kcal,107,37,28,91,BRC0078T,Nome não encontrado
Umidade,g,"70,8","24,8","19,1","60,2",BRC0078T,Nome não encontrado
Carboidrato total,g,"19,2","6,73","5,19","16,4",BRC0078T,Nome não encontrado
Carboidrato disponível,g,"13,0","4,56","3,52","11,1",BRC0078T,Nome não encontrado
Proteína,g,"7,04","2,47","1,90","5,99",BRC0078T,Nome não encontrado
Lipídios,g,"1,63","0,57","0,44","1,39",BRC0078T,Nome não encontrado
Fibra alimentar,g,"6,22","2,18","1,68","5,28",BRC0078T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0078T,Nome não encontrado
Cinzas,g,"1,31","0,46","0,35","1,11",BRC0078T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0078T,Nome não encontrado
Ácidos graxos saturados,g,"0,27","0,09","0,07","0,23",BRC0078T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,36","0,13","0,10","0,31",BRC0078T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,97","0,34","0,26","0,82",BRC0078T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,01",BRC0078T,Nome não encontrado
Cálcio,mg,"18,9","6,62","5,11","16,1",BRC0078T,Nome não encontrado
Ferro,mg,"1,67","0,58","0,45","1,42",BRC0078T,Nome não encontrado
Sódio,mg,189,"66,2","51,0",160,BRC0078T,Nome não encontrado
Magnésio,mg,"24,9","8,73","6,73","21,2",BRC0078T,Nome não encontrado
Fósforo,mg,119,"41,7","32,2",101,BRC0078T,Nome não encontrado
Potássio,mg,260,"91,1","70,2",221,BRC0078T,Nome não encontrado
Manganês,mg,"0,33","0,11","0,09","0,28",BRC0078T,Nome não encontrado
Zinco,mg,"1,28","0,45","0,35","1,09",BRC0078T,Nome não encontrado
Cobre,mg,"0,20","0,07","0,05","0,17",BRC0078T,Nome não encontrado
Selênio,mcg,"0,06","0,02","0,02","0,05",BRC0078T,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,traços,BRC0078T,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,traços,BRC0078T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0078T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28","0,10","0,08","0,24",BRC0078T,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,01","0,03",BRC0078T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0078T,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0078T,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00","0,01",BRC0078T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0078T,Nome não encontrado
Vitamina C,mg,"0,45","0,16","0,12","0,38",BRC0078T,Nome não encontrado
Equivalente de folato,mcg,157,"55,3","42,6",134,BRC0078T,Nome não encontrado
Sal de adição,g,"0,47","0,16","0,13","0,40",BRC0078T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0078T,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0078T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0078T,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0078T,Nome não encontrado
