componente,unidade,Valor por 100g,Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,376,112,BRC0083K,Nome não encontrado
Energia,kcal,88,26,BRC0083K,Nome não encontrado
Umidade,g,"77,7","23,3",BRC0083K,Nome não encontrado
Carboidrato total,g,"22,2","6,65",BRC0083K,Nome não encontrado
Carboidrato disponível,g,"22,0","6,60",BRC0083K,Nome não encontrado
Proteína,g,"0,03","0,01",BRC0083K,Nome não encontrado
Lipídios,g,traços,traços,BRC0083K,Nome não encontrado
Fibra alimentar,g,"0,18","0,05",BRC0083K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0083K,Nome não encontrado
Cinzas,g,"0,12","0,04",BRC0083K,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0083K,Nome não encontrado
Ácidos graxos saturados,g,traços,traços,BRC0083K,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,BRC0083K,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,BRC0083K,Nome não encontrado
Ácidos graxos trans,g,-,-,BRC0083K,Nome não encontrado
Cálcio,mg,"5,99","1,80",BRC0083K,Nome não encontrado
Ferro,mg,"0,22","0,06",BRC0083K,Nome não encontrado
Sódio,mg,"4,85","1,45",BRC0083K,Nome não encontrado
Magnésio,mg,"2,96","0,89",BRC0083K,Nome não encontrado
Fósforo,mg,"4,71","1,41",BRC0083K,Nome não encontrado
Potássio,mg,"23,1","6,92",BRC0083K,Nome não encontrado
Manganês,mg,"0,09","0,03",BRC0083K,Nome não encontrado
Zinco,mg,"0,03","0,01",BRC0083K,Nome não encontrado
Cobre,mg,"0,05","0,02",BRC0083K,Nome não encontrado
Selênio,mcg,"0,29","0,09",BRC0083K,Nome não encontrado
Vitamina A (RE),mcg,"0,33","0,10",BRC0083K,Nome não encontrado
Vitamina A (RAE),mcg,"0,17","0,05",BRC0083K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0083K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0083K,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0083K,Nome não encontrado
Riboflavina,mg,"0,01","0,00",BRC0083K,Nome não encontrado
Niacina,mg,traços,traços,BRC0083K,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0083K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0083K,Nome não encontrado
Vitamina C,mg,"8,39","2,52",BRC0083K,Nome não encontrado
Equivalente de folato,mcg,"0,40","0,12",BRC0083K,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0083K,Nome não encontrado
Açúcar de adição,g,"7,50","2,25",BRC0083K,Nome não encontrado
Gordura de adição,g,-,-,BRC0083K,Nome não encontrado
Proteína vegetal,g,-,-,BRC0083K,Nome não encontrado
Proteína animal,g,-,-,BRC0083K,Nome não encontrado
