componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1391,55,13,BRC0933B,Nome não encontrado
Energia,kcal,335,13,3,BRC0933B,Nome não encontrado
Umidade,g,"9,87","0,39","0,10",BRC0933B,Nome não encontrado
Carboidrato total,g,"65,5","2,62","0,66",BRC0933B,Nome não encontrado
Carboidrato disponível,g,"31,6","1,27","0,32",BRC0933B,Nome não encontrado
Proteína,g,"5,97","0,24","0,06",BRC0933B,Nome não encontrado
Lipídios,g,"13,0","0,52","0,13",BRC0933B,Nome não encontrado
Fibra alimentar,g,"33,9","1,36","0,34",BRC0933B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0933B,Nome não encontrado
Cinzas,g,"5,63","0,23","0,06",BRC0933B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0933B,Nome não encontrado
Ácidos graxos saturados,g,"3,95","0,16","0,04",BRC0933B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,39","0,06","0,01",BRC0933B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,61","0,14","0,04",BRC0933B,Nome não encontrado
Ácidos graxos trans,g,"0,25","0,01","0,00",BRC0933B,Nome não encontrado
Cálcio,mg,632,"25,3","6,32",BRC0933B,Nome não encontrado
Ferro,mg,"11,8","0,47","0,12",BRC0933B,Nome não encontrado
Sódio,mg,277,"11,1","2,77",BRC0933B,Nome não encontrado
Magnésio,mg,259,"10,4","2,59",BRC0933B,Nome não encontrado
Fósforo,mg,104,"4,16","1,04",BRC0933B,Nome não encontrado
Potássio,mg,1020,"40,8","10,2",BRC0933B,Nome não encontrado
Manganês,mg,"60,1","2,41","0,60",BRC0933B,Nome não encontrado
Zinco,mg,"2,32","0,09","0,02",BRC0933B,Nome não encontrado
Cobre,mg,"0,37","0,01","0,00",BRC0933B,Nome não encontrado
Selênio,mcg,"7,20","0,29","0,07",BRC0933B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0933B,Nome não encontrado
Vitamina A (RAE),mcg,"8,00","0,32","0,08",BRC0933B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0933B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"8,82","0,35","0,09",BRC0933B,Nome não encontrado
Tiamina,mg,"0,16","0,01","0,00",BRC0933B,Nome não encontrado
Riboflavina,mg,"0,22","0,01","0,00",BRC0933B,Nome não encontrado
Niacina,mg,"1,56","0,06","0,02",BRC0933B,Nome não encontrado
Vitamina B6,mg,"0,39","0,02","0,00",BRC0933B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0933B,Nome não encontrado
Vitamina C,mg,"0,20","0,01","0,00",BRC0933B,Nome não encontrado
Equivalente de folato,mcg,"25,0","1,00","0,25",BRC0933B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0933B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0933B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0933B,Nome não encontrado
Proteína vegetal,g,"5,97","0,24","0,06",BRC0933B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0933B,Nome não encontrado
