componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,533,319,213,BRC0914A,Nome não encontrado
Energia,kcal,126,75,50,BRC0914A,Nome não encontrado
Umidade,g,"70,2","42,1","28,1",BRC0914A,Nome não encontrado
Carboidrato total,g,"23,3","14,0","9,33",BRC0914A,Nome não encontrado
Carboidrato disponível,g,"22,0","13,2","8,81",BRC0914A,Nome não encontrado
Proteína,g,"3,37","2,02","1,35",BRC0914A,Nome não encontrado
Lipídios,g,"2,45","1,47","0,98",BRC0914A,Nome não encontrado
Fibra alimentar,g,"1,30","0,78","0,52",BRC0914A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0914A,Nome não encontrado
Cinzas,g,"0,64","0,38","0,26",BRC0914A,Nome não encontrado
Colesterol,mg,"3,71","2,23","1,48",BRC0914A,Nome não encontrado
Ácidos graxos saturados,g,"1,37","0,82","0,55",BRC0914A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,72","0,43","0,29",BRC0914A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,21","0,13","0,08",BRC0914A,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02","0,01",BRC0914A,Nome não encontrado
Cálcio,mg,"72,1","43,3","28,8",BRC0914A,Nome não encontrado
Ferro,mg,"0,12","0,07","0,05",BRC0914A,Nome não encontrado
Sódio,mg,"33,3","20,0","13,3",BRC0914A,Nome não encontrado
Magnésio,mg,"18,8","11,3","7,53",BRC0914A,Nome não encontrado
Fósforo,mg,"74,9","45,0","30,0",BRC0914A,Nome não encontrado
Potássio,mg,105,"63,3","42,2",BRC0914A,Nome não encontrado
Manganês,mg,"0,18","0,11","0,07",BRC0914A,Nome não encontrado
Zinco,mg,"0,39","0,24","0,16",BRC0914A,Nome não encontrado
Cobre,mg,"0,02","0,01","0,01",BRC0914A,Nome não encontrado
Selênio,mcg,"4,08","2,45","1,63",BRC0914A,Nome não encontrado
Vitamina A (RE),mcg,"23,0","13,8","9,20",BRC0914A,Nome não encontrado
Vitamina A (RAE),mcg,"22,6","13,6","9,05",BRC0914A,Nome não encontrado
Vitamina D,mcg,"0,02","0,01","0,01",BRC0914A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,15","0,09","0,06",BRC0914A,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02",BRC0914A,Nome não encontrado
Riboflavina,mg,"0,12","0,07","0,05",BRC0914A,Nome não encontrado
Niacina,mg,"0,44","0,26","0,17",BRC0914A,Nome não encontrado
Vitamina B6,mg,"0,13","0,08","0,05",BRC0914A,Nome não encontrado
Vitamina B12,mcg,"0,17","0,10","0,07",BRC0914A,Nome não encontrado
Vitamina C,mg,"0,33","0,20","0,13",BRC0914A,Nome não encontrado
Equivalente de folato,mcg,"5,41","3,25","2,16",BRC0914A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0914A,Nome não encontrado
Açúcar de adição,g,,,,BRC0914A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0914A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0914A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0914A,Nome não encontrado
