componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,96,191,BRC0101H,Nome não encontrado
Energia,kcal,23,45,BRC0101H,Nome não encontrado
Umidade,g,"94,2",188,BRC0101H,Nome não encontrado
Carboidrato total,g,"3,56","7,12",BRC0101H,Nome não encontrado
Carboidrato disponível,g,"3,22","6,43",BRC0101H,Nome não encontrado
Proteína,g,"1,58","3,15",BRC0101H,Nome não encontrado
Lipídios,g,"0,31","0,62",BRC0101H,Nome não encontrado
Fibra alimentar,g,"0,35","0,69",BRC0101H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0101H,Nome não encontrado
Cinzas,g,"0,39","0,77",BRC0101H,Nome não encontrado
Colesterol,mg,"1,88","3,75",BRC0101H,Nome não encontrado
Ácidos graxos saturados,g,"0,05","0,09",BRC0101H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,02",BRC0101H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,05","0,09",BRC0101H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0101H,Nome não encontrado
Cálcio,mg,"68,4",136,BRC0101H,Nome não encontrado
Ferro,mg,"0,03","0,07",BRC0101H,Nome não encontrado
Sódio,mg,"26,3","52,7",BRC0101H,Nome não encontrado
Magnésio,mg,"7,15","14,3",BRC0101H,Nome não encontrado
Fósforo,mg,"44,3","88,6",BRC0101H,Nome não encontrado
Potássio,mg,"87,3",174,BRC0101H,Nome não encontrado
Manganês,mg,"0,02","0,04",BRC0101H,Nome não encontrado
Zinco,mg,"0,20","0,39",BRC0101H,Nome não encontrado
Cobre,mg,"0,02","0,03",BRC0101H,Nome não encontrado
Selênio,mcg,,,BRC0101H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0101H,Nome não encontrado
Vitamina A (RAE),mcg,"4,50","9,00",BRC0101H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0101H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,04",BRC0101H,Nome não encontrado
Tiamina,mg,"0,02","0,04",BRC0101H,Nome não encontrado
Riboflavina,mg,"0,13","0,27",BRC0101H,Nome não encontrado
Niacina,mg,"0,83","1,67",BRC0101H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0101H,Nome não encontrado
Vitamina B12,mcg,"0,28","0,55",BRC0101H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0101H,Nome não encontrado
Equivalente de folato,mcg,"2,75","5,49",BRC0101H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0101H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0101H,Nome não encontrado
Gordura de adição,g,-,-,BRC0101H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0101H,Nome não encontrado
Proteína animal,g,-,-,BRC0101H,Nome não encontrado
