componente,unidade,Valor por 100g,Colher servir cheia (95 g),Colher servir rasa (60 g),Colher sopa cheia (60 g),Colher sopa rasa (30 g),codigo_alimento,nome_alimento
Energia,kJ,1076,1021,645,645,322,BRC0286B,Nome não encontrado
Energia,kcal,262,248,156,156,78,BRC0286B,Nome não encontrado
Umidade,g,"63,3","60,2","38,0","38,0","19,0",BRC0286B,Nome não encontrado
Carboidrato total,g,"7,71","7,33","4,63","4,63","2,31",BRC0286B,Nome não encontrado
Carboidrato disponível,g,"1,70","1,62","1,02","1,02","0,51",BRC0286B,Nome não encontrado
Proteína,g,"1,75","1,66","1,05","1,05","0,52",BRC0286B,Nome não encontrado
Lipídios,g,"26,2","24,9","15,7","15,7","7,86",BRC0286B,Nome não encontrado
Fibra alimentar,g,"6,01","5,71","3,61","3,61","1,80",BRC0286B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0286B,Nome não encontrado
Cinzas,g,"1,01","0,96","0,61","0,61","0,30",BRC0286B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0286B,Nome não encontrado
Ácidos graxos saturados,g,"3,99","3,79","2,39","2,39","1,20",BRC0286B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,07","5,77","3,64","3,64","1,82",BRC0286B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"15,7","14,9","9,41","9,41","4,71",BRC0286B,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,12","0,08","0,08","0,04",BRC0286B,Nome não encontrado
Cálcio,mg,"25,0","23,7","15,0","15,0","7,49",BRC0286B,Nome não encontrado
Ferro,mg,"0,44","0,41","0,26","0,26","0,13",BRC0286B,Nome não encontrado
Sódio,mg,127,121,"76,7","76,7","38,3",BRC0286B,Nome não encontrado
Magnésio,mg,"25,7","24,4","15,4","15,4","7,71",BRC0286B,Nome não encontrado
Fósforo,mg,"36,2","34,4","21,7","21,7","10,8",BRC0286B,Nome não encontrado
Potássio,mg,265,252,159,159,"79,6",BRC0286B,Nome não encontrado
Manganês,mg,"0,18","0,17","0,11","0,11","0,05",BRC0286B,Nome não encontrado
Zinco,mg,"0,18","0,17","0,11","0,11","0,05",BRC0286B,Nome não encontrado
Cobre,mg,"0,21","0,20","0,12","0,12","0,06",BRC0286B,Nome não encontrado
Selênio,mcg,"0,21","0,20","0,13","0,13","0,06",BRC0286B,Nome não encontrado
Vitamina A (RE),mcg,"15,3","14,6","9,20","9,20","4,60",BRC0286B,Nome não encontrado
Vitamina A (RAE),mcg,"7,66","7,28","4,60","4,60","2,30",BRC0286B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0286B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,09","1,03","0,65","0,65","0,33",BRC0286B,Nome não encontrado
Tiamina,mg,"0,08","0,07","0,05","0,05","0,02",BRC0286B,Nome não encontrado
Riboflavina,mg,"0,05","0,04","0,03","0,03","0,01",BRC0286B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0286B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC0286B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0286B,Nome não encontrado
Vitamina C,mg,"5,08","4,83","3,05","3,05","1,52",BRC0286B,Nome não encontrado
Equivalente de folato,mcg,"20,9","19,8","12,5","12,5","6,26",BRC0286B,Nome não encontrado
Sal de adição,g,"0,47","0,45","0,28","0,28","0,14",BRC0286B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0286B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0286B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0286B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0286B,Nome não encontrado
