componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (17 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,341,119,57,477,272,BRC0090T,Nome não encontrado
Energia,kcal,81,28,13,113,64,BRC0090T,Nome não encontrado
Umidade,g,"77,7","27,2","13,2",108,"62,2",BRC0090T,Nome não encontrado
Carboidrato total,g,"15,3","5,36","2,60","21,4","12,2",BRC0090T,Nome não encontrado
Carboidrato disponível,g,"8,40","2,94","1,43","11,8","6,72",BRC0090T,Nome não encontrado
Proteína,g,"4,68","1,64","0,80","6,55","3,74",BRC0090T,Nome não encontrado
Lipídios,g,"1,72","0,60","0,29","2,41","1,38",BRC0090T,Nome não encontrado
Fibra alimentar,g,"6,84","2,39","1,16","9,58","5,47",BRC0090T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0090T,Nome não encontrado
Cinzas,g,"0,68","0,24","0,12","0,95","0,54",BRC0090T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0090T,Nome não encontrado
Ácidos graxos saturados,g,"0,28","0,10","0,05","0,39","0,22",BRC0090T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,38","0,13","0,06","0,53","0,30",BRC0090T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,01","0,35","0,17","1,41","0,81",BRC0090T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,01","0,01",BRC0090T,Nome não encontrado
Cálcio,mg,"28,1","9,84","4,78","39,3","22,5",BRC0090T,Nome não encontrado
Ferro,mg,"1,34","0,47","0,23","1,88","1,07",BRC0090T,Nome não encontrado
Sódio,mg,"1,90","0,67","0,32","2,66","1,52",BRC0090T,Nome não encontrado
Magnésio,mg,"44,2","15,5","7,51","61,9","35,4",BRC0090T,Nome não encontrado
Fósforo,mg,"92,7","32,4","15,8",129,"74,2",BRC0090T,Nome não encontrado
Potássio,mg,274,"95,9","46,6",383,219,BRC0090T,Nome não encontrado
Manganês,mg,"0,30","0,11","0,05","0,42","0,24",BRC0090T,Nome não encontrado
Zinco,mg,"0,74","0,26","0,13","1,04","0,59",BRC0090T,Nome não encontrado
Cobre,mg,"0,20","0,07","0,03","0,28","0,16",BRC0090T,Nome não encontrado
Selênio,mcg,"0,05","0,02","0,01","0,07","0,04",BRC0090T,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,traços,traços,BRC0090T,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,traços,traços,BRC0090T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0090T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,78","0,27","0,13","1,09","0,62",BRC0090T,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,01","0,06","0,03",BRC0090T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0090T,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0090T,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00","0,01","0,01",BRC0090T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0090T,Nome não encontrado
Vitamina C,mg,"0,42","0,15","0,07","0,59","0,34",BRC0090T,Nome não encontrado
Equivalente de folato,mcg,"94,5","33,1","16,1",132,"75,6",BRC0090T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0090T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0090T,Nome não encontrado
Gordura de adição,g,"1,20","0,42","0,20","1,68","0,96",BRC0090T,Nome não encontrado
Proteína vegetal,g,"4,68","1,64","0,80","6,55","3,74",BRC0090T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0090T,Nome não encontrado
