componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher servir rasa (25 g),Colher sopa cheia (25 g),Colher sopa rasa (20 g),Escumadeira cheia (50 g),Escumadeira rasa (30 g),codigo_alimento,nome_alimento
Energia,kJ,601,240,150,150,120,300,180,BRC0134B,Nome não encontrado
Energia,kcal,144,57,35,35,28,71,43,BRC0134B,Nome não encontrado
Umidade,g,"72,5","29,0","18,1","18,1","14,5","36,3","21,8",BRC0134B,Nome não encontrado
Carboidrato total,g,"4,57","1,83","1,14","1,14","0,91","2,29","1,37",BRC0134B,Nome não encontrado
Carboidrato disponível,g,"4,16","1,66","1,04","1,04","0,83","2,08","1,25",BRC0134B,Nome não encontrado
Proteína,g,"13,9","5,57","3,48","3,48","2,79","6,96","4,18",BRC0134B,Nome não encontrado
Lipídios,g,"7,84","3,14","1,96","1,96","1,57","3,92","2,35",BRC0134B,Nome não encontrado
Fibra alimentar,g,"0,41","0,16","0,10","0,10","0,08","0,21","0,12",BRC0134B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0134B,Nome não encontrado
Cinzas,g,"1,14","0,46","0,28","0,28","0,23","0,57","0,34",BRC0134B,Nome não encontrado
Colesterol,mg,"52,5","21,0","13,1","13,1","10,5","26,3","15,8",BRC0134B,Nome não encontrado
Ácidos graxos saturados,g,"1,34","0,54","0,33","0,33","0,27","0,67","0,40",BRC0134B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,08","0,83","0,52","0,52","0,42","1,04","0,62",BRC0134B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,00","1,60","1,00","1,00","0,80","2,00","1,20",BRC0134B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,00","0,00","0,00","0,01","0,00",BRC0134B,Nome não encontrado
Cálcio,mg,"9,41","3,76","2,35","2,35","1,88","4,70","2,82",BRC0134B,Nome não encontrado
Ferro,mg,"0,32","0,13","0,08","0,08","0,06","0,16","0,10",BRC0134B,Nome não encontrado
Sódio,mg,248,"99,3","62,1","62,1","49,7",124,"74,5",BRC0134B,Nome não encontrado
Magnésio,mg,"13,3","5,30","3,31","3,31","2,65","6,63","3,98",BRC0134B,Nome não encontrado
Fósforo,mg,102,"41,0","25,6","25,6","20,5","51,3","30,8",BRC0134B,Nome não encontrado
Potássio,mg,148,"59,6","37,2","37,2","29,8","74,5","44,7",BRC0134B,Nome não encontrado
Manganês,mg,"0,03","0,01","0,01","0,01","0,01","0,01","0,01",BRC0134B,Nome não encontrado
Zinco,mg,"0,39","0,16","0,10","0,10","0,08","0,20","0,12",BRC0134B,Nome não encontrado
Cobre,mg,"0,08","0,03","0,02","0,02","0,02","0,04","0,02",BRC0134B,Nome não encontrado
Selênio,mcg,"5,55","2,22","1,39","1,39","1,11","2,78","1,67",BRC0134B,Nome não encontrado
Vitamina A (RE),mcg,"72,1","28,8","18,0","18,0","14,4","36,0","21,6",BRC0134B,Nome não encontrado
Vitamina A (RAE),mcg,"36,0","14,4","9,00","9,00","7,20","18,0","10,8",BRC0134B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0134B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,63","0,25","0,16","0,16","0,13","0,32","0,19",BRC0134B,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,01","0,01","0,01","0,03","0,02",BRC0134B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0134B,Nome não encontrado
Niacina,mg,"1,48","0,59","0,37","0,37","0,30","0,74","0,44",BRC0134B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,traços,traços,BRC0134B,Nome não encontrado
Vitamina B12,mcg,,,,,,traços,,BRC0134B,Nome não encontrado
Vitamina C,mg,"9,26","3,70","2,31","2,31","1,85","4,63","2,78",BRC0134B,Nome não encontrado
Equivalente de folato,mcg,"11,5","4,60","2,88","2,88","2,30","5,75","3,45",BRC0134B,Nome não encontrado
Sal de adição,g,,,,,,traços,,BRC0134B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0134B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,BRC0134B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,BRC0134B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,BRC0134B,Nome não encontrado
