componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,109,261,179,BRC0001H,Nome não encontrado
Energia,kcal,26,61,42,BRC0001H,Nome não encontrado
Umidade,g,"93,5",224,154,BRC0001H,Nome não encontrado
Carboidrato total,g,"6,40","15,4","10,6",BRC0001H,Nome não encontrado
Carboidrato disponível,g,"6,40","15,4","10,6",BRC0001H,Nome não encontrado
Proteína,g,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Cinzas,g,"0,09","0,22","0,15",BRC0001H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Cálcio,mg,"1,23","2,96","2,03",BRC0001H,Nome não encontrado
Ferro,mg,"0,67","1,61","1,11",BRC0001H,Nome não encontrado
Sódio,mg,"44,1",105,"72,7",BRC0001H,Nome não encontrado
Magnésio,mg,traços,traços,traços,BRC0001H,Nome não encontrado
Fósforo,mg,"8,97","21,5","14,8",BRC0001H,Nome não encontrado
Potássio,mg,"13,0","31,3","21,5",BRC0001H,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0001H,Nome não encontrado
Zinco,mg,traços,traços,traços,BRC0001H,Nome não encontrado
Cobre,mg,traços,traços,traços,BRC0001H,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,67","4,01","2,76",BRC0001H,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Niacina,mg,"4,10","9,83","6,76",BRC0001H,Nome não encontrado
Vitamina B6,mg,"0,56","1,33","0,92",BRC0001H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Vitamina C,mg,"1,33","3,19","2,19",BRC0001H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Sal de adição,g,,,,BRC0001H,Nome não encontrado
Açúcar de adição,g,,,,BRC0001H,Nome não encontrado
Gordura de adição,g,,,,BRC0001H,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0001H,Nome não encontrado
