componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,526,262,131,578,472,BRC1042A,Nome não encontrado
Energia,kcal,125,62,31,137,112,BRC1042A,Nome não encontrado
Umidade,g,"70,7","35,3","17,7","77,7","63,6",BRC1042A,Nome não encontrado
Carboidrato total,g,"19,4","9,69","4,84","21,3","17,4",BRC1042A,Nome não encontrado
Carboidrato disponível,g,"18,2","9,12","4,56","20,1","16,4",BRC1042A,Nome não encontrado
Proteína,g,"6,00","3,00","1,50","6,60","5,40",BRC1042A,Nome não encontrado
Lipídios,g,"2,82","1,41","0,71","3,10","2,54",BRC1042A,Nome não encontrado
Fibra alimentar,g,"1,13","0,57","0,28","1,24","1,02",BRC1042A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC1042A,Nome não encontrado
Cinzas,g,"1,23","0,61","0,31","1,35","1,10",BRC1042A,Nome não encontrado
Colesterol,mg,"12,2","6,10","3,05","13,4","11,0",BRC1042A,Nome não encontrado
Ácidos graxos saturados,g,"0,69","0,35","0,17","0,76","0,62",BRC1042A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,62","0,31","0,15","0,68","0,56",BRC1042A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,37","0,68","0,34","1,50","1,23",BRC1042A,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,01","0,01","0,03","0,02",BRC1042A,Nome não encontrado
Cálcio,mg,"36,0","18,0","9,00","39,6","32,4",BRC1042A,Nome não encontrado
Ferro,mg,"0,45","0,22","0,11","0,49","0,40",BRC1042A,Nome não encontrado
Sódio,mg,258,129,"64,6",284,232,BRC1042A,Nome não encontrado
Magnésio,mg,"7,46","3,73","1,87","8,21","6,71",BRC1042A,Nome não encontrado
Fósforo,mg,"75,4","37,7","18,8","82,9","67,8",BRC1042A,Nome não encontrado
Potássio,mg,124,"62,3","31,2",137,112,BRC1042A,Nome não encontrado
Manganês,mg,"0,16","0,08","0,04","0,17","0,14",BRC1042A,Nome não encontrado
Zinco,mg,"0,58","0,29","0,14","0,63","0,52",BRC1042A,Nome não encontrado
Cobre,mg,"0,08","0,04","0,02","0,09","0,07",BRC1042A,Nome não encontrado
Selênio,mcg,"8,49","4,25","2,12","9,34","7,64",BRC1042A,Nome não encontrado
Vitamina A (RE),mcg,"23,5","11,7","5,86","25,8","21,1",BRC1042A,Nome não encontrado
Vitamina A (RAE),mcg,"11,7","5,86","2,93","12,9","10,6",BRC1042A,Nome não encontrado
Vitamina D,mcg,"0,17","0,08","0,04","0,19","0,15",BRC1042A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,44","0,22","0,11","0,49","0,40",BRC1042A,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,01","0,06","0,05",BRC1042A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01","0,02","0,02",BRC1042A,Nome não encontrado
Niacina,mg,"1,73","0,86","0,43","1,90","1,55",BRC1042A,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01","0,03","0,02",BRC1042A,Nome não encontrado
Vitamina B12,mcg,"0,70","0,35","0,17","0,77","0,63",BRC1042A,Nome não encontrado
Vitamina C,mg,"3,68","1,84","0,92","4,05","3,31",BRC1042A,Nome não encontrado
Equivalente de folato,mcg,"47,9","24,0","12,0","52,7","43,1",BRC1042A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,12","0,52","0,42",BRC1042A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC1042A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC1042A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC1042A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC1042A,Nome não encontrado
