componente,unidade,Valor por 100g,Porção Média (90 g),codigo_alimento,nome_alimento
Energia,kJ,1236,1112,BRC0654A,Nome não encontrado
Energia,kcal,297,267,BRC0654A,Nome não encontrado
Umidade,g,"51,3","46,2",BRC0654A,Nome não encontrado
Carboidrato total,g,"14,0","12,6",BRC0654A,Nome não encontrado
Carboidrato disponível,g,"13,3","12,0",BRC0654A,Nome não encontrado
Proteína,g,"11,1","9,97",BRC0654A,Nome não encontrado
Lipídios,g,"22,0","19,8",BRC0654A,Nome não encontrado
Fibra alimentar,g,"0,69","0,62",BRC0654A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0654A,Nome não encontrado
Cinzas,g,"1,60","1,44",BRC0654A,Nome não encontrado
Colesterol,mg,125,113,BRC0654A,Nome não encontrado
Ácidos graxos saturados,g,"11,2","10,0",BRC0654A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,71","5,14",BRC0654A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,39","1,25",BRC0654A,Nome não encontrado
Ácidos graxos trans,g,"0,58","0,52",BRC0654A,Nome não encontrado
Cálcio,mg,125,113,BRC0654A,Nome não encontrado
Ferro,mg,"1,43","1,28",BRC0654A,Nome não encontrado
Sódio,mg,325,292,BRC0654A,Nome não encontrado
Magnésio,mg,"18,6","16,7",BRC0654A,Nome não encontrado
Fósforo,mg,204,184,BRC0654A,Nome não encontrado
Potássio,mg,182,164,BRC0654A,Nome não encontrado
Manganês,mg,"0,09","0,08",BRC0654A,Nome não encontrado
Zinco,mg,"0,89","0,80",BRC0654A,Nome não encontrado
Cobre,mg,"0,06","0,06",BRC0654A,Nome não encontrado
Selênio,mcg,"3,73","3,36",BRC0654A,Nome não encontrado
Vitamina A (RE),mcg,152,137,BRC0654A,Nome não encontrado
Vitamina A (RAE),mcg,149,134,BRC0654A,Nome não encontrado
Vitamina D,mcg,"3,07","2,76",BRC0654A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,66","0,59",BRC0654A,Nome não encontrado
Tiamina,mg,"0,10","0,09",BRC0654A,Nome não encontrado
Riboflavina,mg,"0,13","0,11",BRC0654A,Nome não encontrado
Niacina,mg,"1,22","1,10",BRC0654A,Nome não encontrado
Vitamina B6,mg,"0,04","0,04",BRC0654A,Nome não encontrado
Vitamina B12,mcg,"0,66","0,59",BRC0654A,Nome não encontrado
Vitamina C,mg,"0,17","0,15",BRC0654A,Nome não encontrado
Equivalente de folato,mcg,"52,7","47,5",BRC0654A,Nome não encontrado
Sal de adição,g,"0,47","0,42",BRC0654A,Nome não encontrado
Açúcar de adição,g,"0,21","0,19",BRC0654A,Nome não encontrado
Gordura de adição,g,-,-,BRC0654A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0654A,Nome não encontrado
Proteína animal,g,-,-,BRC0654A,Nome não encontrado
