componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,302,166,BRC0310N,Nome não encontrado
Energia,kcal,72,39,BRC0310N,Nome não encontrado
Umidade,g,"83,1","45,7",BRC0310N,Nome não encontrado
Carboidrato total,g,"10,5","5,76",BRC0310N,Nome não encontrado
Carboidrato disponível,g,"6,42","3,53",BRC0310N,Nome não encontrado
Proteína,g,"2,95","1,62",BRC0310N,Nome não encontrado
Lipídios,g,"2,98","1,64",BRC0310N,Nome não encontrado
Fibra alimentar,g,"4,06","2,23",BRC0310N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0310N,Nome não encontrado
Cinzas,g,"0,52","0,28",BRC0310N,Nome não encontrado
Colesterol,mg,"0,67","0,37",BRC0310N,Nome não encontrado
Ácidos graxos saturados,g,"0,46","0,25",BRC0310N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,68","0,92",BRC0310N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,76","0,42",BRC0310N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0310N,Nome não encontrado
Cálcio,mg,"17,9","9,86",BRC0310N,Nome não encontrado
Ferro,mg,"0,77","0,42",BRC0310N,Nome não encontrado
Sódio,mg,"2,27","1,25",BRC0310N,Nome não encontrado
Magnésio,mg,"24,9","13,7",BRC0310N,Nome não encontrado
Fósforo,mg,"56,6","31,1",BRC0310N,Nome não encontrado
Potássio,mg,209,115,BRC0310N,Nome não encontrado
Manganês,mg,"0,19","0,10",BRC0310N,Nome não encontrado
Zinco,mg,"0,44","0,24",BRC0310N,Nome não encontrado
Cobre,mg,"0,12","0,06",BRC0310N,Nome não encontrado
Selênio,mcg,"0,28","0,15",BRC0310N,Nome não encontrado
Vitamina A (RE),mcg,130,"71,5",BRC0310N,Nome não encontrado
Vitamina A (RAE),mcg,"65,2","35,9",BRC0310N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0310N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,39","0,77",BRC0310N,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0310N,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0310N,Nome não encontrado
Niacina,mg,"0,23","0,13",BRC0310N,Nome não encontrado
Vitamina B6,mg,"0,03","0,02",BRC0310N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0310N,Nome não encontrado
Vitamina C,mg,"1,43","0,79",BRC0310N,Nome não encontrado
Equivalente de folato,mcg,"50,0","27,5",BRC0310N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0310N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0310N,Nome não encontrado
Gordura de adição,g,-,-,BRC0310N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0310N,Nome não encontrado
Proteína animal,g,-,-,BRC0310N,Nome não encontrado
