componente,unidade,Valor por 100g,Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,615,1015,BRC0142H,Nome não encontrado
Energia,kcal,148,243,BRC0142H,Nome não encontrado
Umidade,g,"74,3",122,BRC0142H,Nome não encontrado
Carboidrato total,g,"10,9","18,1",BRC0142H,Nome não encontrado
Carboidrato disponível,g,"10,7","17,6",BRC0142H,Nome não encontrado
Proteína,g,"1,44","2,38",BRC0142H,Nome não encontrado
Lipídios,g,"3,92","6,46",BRC0142H,Nome não encontrado
Fibra alimentar,g,"0,28","0,47",BRC0142H,Nome não encontrado
Álcool,g,"9,05","14,9",BRC0142H,Nome não encontrado
Cinzas,g,"0,38","0,62",BRC0142H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0142H,Nome não encontrado
Ácidos graxos saturados,g,"3,05","5,03",BRC0142H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,41","0,67",BRC0142H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,13",BRC0142H,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,06",BRC0142H,Nome não encontrado
Cálcio,mg,"41,7","68,8",BRC0142H,Nome não encontrado
Ferro,mg,"0,17","0,29",BRC0142H,Nome não encontrado
Sódio,mg,"21,9","36,2",BRC0142H,Nome não encontrado
Magnésio,mg,"8,60","14,2",BRC0142H,Nome não encontrado
Fósforo,mg,"35,3","58,3",BRC0142H,Nome não encontrado
Potássio,mg,"94,9",156,BRC0142H,Nome não encontrado
Manganês,mg,"0,27","0,45",BRC0142H,Nome não encontrado
Zinco,mg,"0,22","0,35",BRC0142H,Nome não encontrado
Cobre,mg,"0,05","0,08",BRC0142H,Nome não encontrado
Selênio,mcg,"2,46","4,06",BRC0142H,Nome não encontrado
Vitamina A (RE),mcg,"0,32","0,52",BRC0142H,Nome não encontrado
Vitamina A (RAE),mcg,"0,16","0,26",BRC0142H,Nome não encontrado
Vitamina D,mcg,"0,02","0,04",BRC0142H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,07",BRC0142H,Nome não encontrado
Tiamina,mg,"0,04","0,06",BRC0142H,Nome não encontrado
Riboflavina,mg,"0,06","0,09",BRC0142H,Nome não encontrado
Niacina,mg,traços,traços,BRC0142H,Nome não encontrado
Vitamina B6,mg,"0,09","0,15",BRC0142H,Nome não encontrado
Vitamina B12,mcg,"0,07","0,11",BRC0142H,Nome não encontrado
Vitamina C,mg,"5,57","9,19",BRC0142H,Nome não encontrado
Equivalente de folato,mcg,"5,16","8,51",BRC0142H,Nome não encontrado
Sal de adição,g,,,BRC0142H,Nome não encontrado
Açúcar de adição,g,,,BRC0142H,Nome não encontrado
Gordura de adição,g,-,-,BRC0142H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0142H,Nome não encontrado
Proteína animal,g,-,-,BRC0142H,Nome não encontrado
