componente,unidade,Valor por 100g,Colher sopa cheia (36 g),Colher sopa rasa (16 g),Escumadeira cheia (100 g),Escumadeira rasa (70 g),Pedaço/ Unidade/ Fatia (M) (50 g),codigo_alimento,nome_alimento
Energia,kJ,72,25,11,71,50,35,BRC0166B,Nome não encontrado
Energia,kcal,17,6,2,17,12,8,BRC0166B,Nome não encontrado
Umidade,g,"93,8","33,8","15,0","93,8","65,7","46,9",BRC0166B,Nome não encontrado
Carboidrato total,g,"3,98","1,43","0,64","3,98","2,79","1,99",BRC0166B,Nome não encontrado
Carboidrato disponível,g,"1,57","0,56","0,25","1,57","1,10","0,78",BRC0166B,Nome não encontrado
Proteína,g,"1,21","0,44","0,19","1,21","0,85","0,61",BRC0166B,Nome não encontrado
Lipídios,g,"0,14","0,05","0,02","0,14","0,10","0,07",BRC0166B,Nome não encontrado
Fibra alimentar,g,"2,41","0,87","0,39","2,41","1,69","1,21",BRC0166B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0166B,Nome não encontrado
Cinzas,g,"0,82","0,30","0,13","0,82","0,57","0,41",BRC0166B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0166B,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,01","0,01","0,03","0,02","0,02",BRC0166B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,01","0,00","0,02","0,01","0,01",BRC0166B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,00","0,00","0,01","0,01","0,01",BRC0166B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0166B,Nome não encontrado
Cálcio,mg,"3,22","1,16","0,52","3,22","2,26","1,61",BRC0166B,Nome não encontrado
Ferro,mg,traços,traços,traços,traços,traços,traços,BRC0166B,Nome não encontrado
Sódio,mg,127,"46,0","20,5",127,"89,5","63,9",BRC0166B,Nome não encontrado
Magnésio,mg,"1,21","0,43","0,19","1,21","0,85","0,60",BRC0166B,Nome não encontrado
Fósforo,mg,"7,74","2,79","1,24","7,74","5,42","3,87",BRC0166B,Nome não encontrado
Potássio,mg,"67,9","24,4","10,9","67,9","47,5","33,9",BRC0166B,Nome não encontrado
Manganês,mg,"0,01","0,00","0,00","0,01","0,01","0,01",BRC0166B,Nome não encontrado
Zinco,mg,"0,06","0,02","0,01","0,06","0,04","0,03",BRC0166B,Nome não encontrado
Cobre,mg,"0,05","0,02","0,01","0,05","0,04","0,03",BRC0166B,Nome não encontrado
Selênio,mcg,"1,08","0,39","0,17","1,08","0,75","0,54",BRC0166B,Nome não encontrado
Vitamina A (RE),mcg,342,123,"54,8",342,239,171,BRC0166B,Nome não encontrado
Vitamina A (RAE),mcg,171,"61,6","27,4",171,119,"85,6",BRC0166B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0166B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,50","0,54","0,24","1,50","1,05","0,75",BRC0166B,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,traços,BRC0166B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,BRC0166B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,BRC0166B,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,01","0,05","0,03","0,02",BRC0166B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0166B,Nome não encontrado
Vitamina C,mg,"6,81","2,45","1,09","6,81","4,77","3,41",BRC0166B,Nome não encontrado
Equivalente de folato,mcg,"5,59","2,01","0,89","5,59","3,91","2,79",BRC0166B,Nome não encontrado
Sal de adição,g,"0,32","0,12","0,05","0,32","0,22","0,16",BRC0166B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0166B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0166B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0166B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0166B,Nome não encontrado
