componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,195,39,253,BRC0258B,Nome não encontrado
Energia,kcal,47,9,60,BRC0258B,Nome não encontrado
Umidade,g,"90,0","18,0",116,BRC0258B,Nome não encontrado
Carboidrato total,g,"5,80","1,16","7,54",BRC0258B,Nome não encontrado
Carboidrato disponível,g,"5,12","1,02","6,66",BRC0258B,Nome não encontrado
Proteína,g,"1,34","0,27","1,74",BRC0258B,Nome não encontrado
Lipídios,g,"2,16","0,43","2,80",BRC0258B,Nome não encontrado
Fibra alimentar,g,"0,67","0,13","0,88",BRC0258B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0258B,Nome não encontrado
Cinzas,g,"0,76","0,15","0,99",BRC0258B,Nome não encontrado
Colesterol,mg,"2,19","0,44","2,85",BRC0258B,Nome não encontrado
Ácidos graxos saturados,g,"0,85","0,17","1,10",BRC0258B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,50","0,10","0,65",BRC0258B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,63","0,13","0,82",BRC0258B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01",BRC0258B,Nome não encontrado
Cálcio,mg,"30,6","6,13","39,8",BRC0258B,Nome não encontrado
Ferro,mg,"0,25","0,05","0,33",BRC0258B,Nome não encontrado
Sódio,mg,200,"40,1",260,BRC0258B,Nome não encontrado
Magnésio,mg,"6,19","1,24","8,04",BRC0258B,Nome não encontrado
Fósforo,mg,"25,1","5,01","32,6",BRC0258B,Nome não encontrado
Potássio,mg,"88,1","17,6",114,BRC0258B,Nome não encontrado
Manganês,mg,"0,07","0,01","0,09",BRC0258B,Nome não encontrado
Zinco,mg,"0,16","0,03","0,21",BRC0258B,Nome não encontrado
Cobre,mg,"0,03","0,01","0,03",BRC0258B,Nome não encontrado
Selênio,mcg,"1,12","0,22","1,46",BRC0258B,Nome não encontrado
Vitamina A (RE),mcg,"38,2","7,63","49,6",BRC0258B,Nome não encontrado
Vitamina A (RAE),mcg,"26,0","5,21","33,8",BRC0258B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0258B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,36","0,07","0,46",BRC0258B,Nome não encontrado
Tiamina,mg,"0,02","0,00","0,02",BRC0258B,Nome não encontrado
Riboflavina,mg,"0,05","0,01","0,06",BRC0258B,Nome não encontrado
Niacina,mg,"0,29","0,06","0,38",BRC0258B,Nome não encontrado
Vitamina B6,mg,"0,02","0,00","0,02",BRC0258B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0258B,Nome não encontrado
Vitamina C,mg,"3,33","0,67","4,33",BRC0258B,Nome não encontrado
Equivalente de folato,mcg,"16,1","3,22","20,9",BRC0258B,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0258B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0258B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0258B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0258B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0258B,Nome não encontrado
