componente,unidade,Valor por 100g,Colher servir cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,123,24,BRC0928B,Nome não encontrado
Energia,kcal,29,5,BRC0928B,Nome não encontrado
Umidade,g,"90,6","18,1",BRC0928B,Nome não encontrado
Carboidrato total,g,"6,92","1,38",BRC0928B,Nome não encontrado
Carboidrato disponível,g,"4,33","0,87",BRC0928B,Nome não encontrado
Proteína,g,"1,51","0,30",BRC0928B,Nome não encontrado
Lipídios,g,"0,09","0,02",BRC0928B,Nome não encontrado
Fibra alimentar,g,"2,59","0,52",BRC0928B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0928B,Nome não encontrado
Cinzas,g,"0,94","0,19",BRC0928B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0928B,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,00",BRC0928B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00",BRC0928B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,01",BRC0928B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0928B,Nome não encontrado
Cálcio,mg,"41,9","8,39",BRC0928B,Nome não encontrado
Ferro,mg,"0,66","0,13",BRC0928B,Nome não encontrado
Sódio,mg,155,"31,1",BRC0928B,Nome não encontrado
Magnésio,mg,"16,9","3,39",BRC0928B,Nome não encontrado
Fósforo,mg,"32,9","6,58",BRC0928B,Nome não encontrado
Potássio,mg,261,"52,2",BRC0928B,Nome não encontrado
Manganês,mg,"0,22","0,04",BRC0928B,Nome não encontrado
Zinco,mg,"0,25","0,05",BRC0928B,Nome não encontrado
Cobre,mg,"0,05","0,01",BRC0928B,Nome não encontrado
Selênio,mcg,"2,29","0,46",BRC0928B,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0928B,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0928B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0928B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,12","0,02",BRC0928B,Nome não encontrado
Tiamina,mg,"0,07","0,01",BRC0928B,Nome não encontrado
Riboflavina,mg,"0,06","0,01",BRC0928B,Nome não encontrado
Niacina,mg,"0,38","0,08",BRC0928B,Nome não encontrado
Vitamina B6,mg,"0,22","0,04",BRC0928B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0928B,Nome não encontrado
Vitamina C,mg,"34,3","6,86",BRC0928B,Nome não encontrado
Equivalente de folato,mcg,"23,9","4,78",BRC0928B,Nome não encontrado
Sal de adição,g,"0,32","0,06",BRC0928B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0928B,Nome não encontrado
Gordura de adição,g,-,-,BRC0928B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0928B,Nome não encontrado
Proteína animal,g,-,-,BRC0928B,Nome não encontrado
