componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,264,632,435,BRC0029G,Nome não encontrado
Energia,kcal,63,151,104,BRC0029G,Nome não encontrado
Umidade,g,"87,9",211,145,BRC0029G,Nome não encontrado
Carboidrato total,g,"4,55","10,9","7,50",BRC0029G,Nome não encontrado
Carboidrato disponível,g,"4,55","10,9","7,50",BRC0029G,Nome não encontrado
Proteína,g,"3,12","7,48","5,14",BRC0029G,Nome não encontrado
Lipídios,g,"3,61","8,65","5,95",BRC0029G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0029G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0029G,Nome não encontrado
Cinzas,g,"0,81","1,94","1,33",BRC0029G,Nome não encontrado
Colesterol,mg,"13,4","32,2","22,2",BRC0029G,Nome não encontrado
Ácidos graxos saturados,g,"2,30","5,53","3,80",BRC0029G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,77","1,84","1,27",BRC0029G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,23","0,16",BRC0029G,Nome não encontrado
Ácidos graxos trans,g,"0,12","0,28","0,19",BRC0029G,Nome não encontrado
Cálcio,mg,115,276,189,BRC0029G,Nome não encontrado
Ferro,mg,"0,10","0,23","0,16",BRC0029G,Nome não encontrado
Sódio,mg,"69,1",165,113,BRC0029G,Nome não encontrado
Magnésio,mg,"13,2","31,8","21,9",BRC0029G,Nome não encontrado
Fósforo,mg,105,253,174,BRC0029G,Nome não encontrado
Potássio,mg,130,313,215,BRC0029G,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0029G,Nome não encontrado
Zinco,mg,"0,33","0,79","0,55",BRC0029G,Nome não encontrado
Cobre,mg,"0,04","0,09","0,06",BRC0029G,Nome não encontrado
Selênio,mcg,"1,30","3,13","2,15",BRC0029G,Nome não encontrado
Vitamina A (RE),mcg,"34,4","82,5","56,7",BRC0029G,Nome não encontrado
Vitamina A (RAE),mcg,"33,9","81,3","55,9",BRC0029G,Nome não encontrado
Vitamina D,mcg,"0,05","0,13","0,09",BRC0029G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,15","0,10",BRC0029G,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0029G,Nome não encontrado
Riboflavina,mg,"0,14","0,32","0,22",BRC0029G,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0029G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0029G,Nome não encontrado
Vitamina B12,mcg,"0,07","0,16","0,11",BRC0029G,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0029G,Nome não encontrado
Equivalente de folato,mcg,"0,93","2,23","1,54",BRC0029G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0029G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0029G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0029G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0029G,Nome não encontrado
Proteína animal,g,"3,12","7,48","5,14",BRC0029G,Nome não encontrado
