componente,unidade,Valor por 100g,Colher sopa rasa (13 g),codigo_alimento,nome_alimento
Energia,kJ,1204,156,BRC0020N,Nome não encontrado
Energia,kcal,291,37,BRC0020N,Nome não encontrado
Umidade,g,"56,0","7,27",BRC0020N,Nome não encontrado
Carboidrato total,g,"13,2","1,72",BRC0020N,Nome não encontrado
Carboidrato disponível,g,"13,2","1,72",BRC0020N,Nome não encontrado
Proteína,g,"0,50","0,07",BRC0020N,Nome não encontrado
Lipídios,g,"26,2","3,41",BRC0020N,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0020N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0020N,Nome não encontrado
Cinzas,g,"4,10","0,53",BRC0020N,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0020N,Nome não encontrado
Ácidos graxos saturados,g,"3,27","0,43",BRC0020N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,77","0,88",BRC0020N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"12,7","1,65",BRC0020N,Nome não encontrado
Ácidos graxos trans,g,"0,07","0,01",BRC0020N,Nome não encontrado
Cálcio,mg,"33,2","4,32",BRC0020N,Nome não encontrado
Ferro,mg,"0,55","0,07",BRC0020N,Nome não encontrado
Sódio,mg,1973,256,BRC0020N,Nome não encontrado
Magnésio,mg,"8,86","1,15",BRC0020N,Nome não encontrado
Fósforo,mg,"26,6","3,45",BRC0020N,Nome não encontrado
Potássio,mg,199,"25,9",BRC0020N,Nome não encontrado
Manganês,mg,,,BRC0020N,Nome não encontrado
Zinco,mg,"0,13","0,02",BRC0020N,Nome não encontrado
Cobre,mg,,,BRC0020N,Nome não encontrado
Selênio,mcg,,,BRC0020N,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0020N,Nome não encontrado
Vitamina A (RAE),mcg,"3,93","0,51",BRC0020N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0020N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"16,8","2,18",BRC0020N,Nome não encontrado
Tiamina,mg,"0,03","0,00",BRC0020N,Nome não encontrado
Riboflavina,mg,"0,02","0,00",BRC0020N,Nome não encontrado
Niacina,mg,"0,21","0,03",BRC0020N,Nome não encontrado
Vitamina B6,mg,"0,12","0,02",BRC0020N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0020N,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0020N,Nome não encontrado
Equivalente de folato,mcg,,,BRC0020N,Nome não encontrado
Sal de adição,g,,,BRC0020N,Nome não encontrado
Açúcar de adição,g,,,BRC0020N,Nome não encontrado
Gordura de adição,g,,,BRC0020N,Nome não encontrado
Proteína vegetal,g,,,BRC0020N,Nome não encontrado
Proteína animal,g,,,BRC0020N,Nome não encontrado
