componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,415,995,684,BRC0027G,Nome não encontrado
Energia,kcal,100,239,164,BRC0027G,Nome não encontrado
Umidade,g,"83,1",199,137,BRC0027G,Nome não encontrado
Carboidrato total,g,"5,31","12,7","8,76",BRC0027G,Nome não encontrado
Carboidrato disponível,g,"5,31","12,7","8,76",BRC0027G,Nome não encontrado
Proteína,g,"3,82","9,17","6,30",BRC0027G,Nome não encontrado
Lipídios,g,"7,02","16,8","11,6",BRC0027G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0027G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0027G,Nome não encontrado
Cinzas,g,"0,77","1,85","1,27",BRC0027G,Nome não encontrado
Colesterol,mg,"19,4","46,5","31,9",BRC0027G,Nome não encontrado
Ácidos graxos saturados,g,"4,68","11,2","7,73",BRC0027G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,82","4,37","3,00",BRC0027G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,36","0,25",BRC0027G,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0027G,Nome não encontrado
Cálcio,mg,180,432,297,BRC0027G,Nome não encontrado
Ferro,mg,"0,12","0,29","0,20",BRC0027G,Nome não encontrado
Sódio,mg,"53,0",127,"87,4",BRC0027G,Nome não encontrado
Magnésio,mg,"31,6","75,8","52,1",BRC0027G,Nome não encontrado
Fósforo,mg,119,286,196,BRC0027G,Nome não encontrado
Potássio,mg,181,435,299,BRC0027G,Nome não encontrado
Manganês,mg,,,,BRC0027G,Nome não encontrado
Zinco,mg,"0,22","0,54","0,37",BRC0027G,Nome não encontrado
Cobre,mg,,,,BRC0027G,Nome não encontrado
Selênio,mcg,,,,BRC0027G,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0027G,Nome não encontrado
Vitamina A (RAE),mcg,"54,0",129,"89,1",BRC0027G,Nome não encontrado
Vitamina D,mcg,,,,BRC0027G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0027G,Nome não encontrado
Tiamina,mg,"0,05","0,13","0,09",BRC0027G,Nome não encontrado
Riboflavina,mg,"0,14","0,33","0,23",BRC0027G,Nome não encontrado
Niacina,mg,"0,93","2,22","1,53",BRC0027G,Nome não encontrado
Vitamina B6,mg,"0,02","0,06","0,04",BRC0027G,Nome não encontrado
Vitamina B12,mcg,"0,37","0,88","0,61",BRC0027G,Nome não encontrado
Vitamina C,mg,"2,34","5,62","3,87",BRC0027G,Nome não encontrado
Equivalente de folato,mcg,"6,11","14,7","10,1",BRC0027G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0027G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0027G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0027G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0027G,Nome não encontrado
Proteína animal,g,"3,82","9,17","6,30",BRC0027G,Nome não encontrado
