componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (16 g),codigo_alimento,nome_alimento
Energia,kJ,1598,479,255,BRC0066L,Nome não encontrado
Energia,kcal,388,116,62,BRC0066L,Nome não encontrado
Umidade,g,"51,1","15,3","8,18",BRC0066L,Nome não encontrado
Carboidrato total,g,"6,28","1,88","1,00",BRC0066L,Nome não encontrado
Carboidrato disponível,g,"4,21","1,26","0,67",BRC0066L,Nome não encontrado
Proteína,g,"1,29","0,39","0,21",BRC0066L,Nome não encontrado
Lipídios,g,"40,2","12,1","6,43",BRC0066L,Nome não encontrado
Fibra alimentar,g,"2,06","0,62","0,33",BRC0066L,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0066L,Nome não encontrado
Cinzas,g,"1,08","0,32","0,17",BRC0066L,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0066L,Nome não encontrado
Ácidos graxos saturados,g,"6,01","1,80","0,96",BRC0066L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"30,2","9,06","4,83",BRC0066L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,90","1,17","0,62",BRC0066L,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0066L,Nome não encontrado
Cálcio,mg,"58,0","17,4","9,27",BRC0066L,Nome não encontrado
Ferro,mg,"2,87","0,86","0,46",BRC0066L,Nome não encontrado
Sódio,mg,187,"56,3","30,0",BRC0066L,Nome não encontrado
Magnésio,mg,"17,8","5,35","2,85",BRC0066L,Nome não encontrado
Fósforo,mg,"27,4","8,21","4,38",BRC0066L,Nome não encontrado
Potássio,mg,165,"49,8","26,5",BRC0066L,Nome não encontrado
Manganês,mg,"0,28","0,08","0,04",BRC0066L,Nome não encontrado
Zinco,mg,"0,33","0,10","0,05",BRC0066L,Nome não encontrado
Cobre,mg,"0,08","0,02","0,01",BRC0066L,Nome não encontrado
Selênio,mcg,"0,18","0,05","0,03",BRC0066L,Nome não encontrado
Vitamina A (RE),mcg,"0,88","0,26","0,14",BRC0066L,Nome não encontrado
Vitamina A (RAE),mcg,"44,2","13,3","7,07",BRC0066L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0066L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"7,43","2,23","1,19",BRC0066L,Nome não encontrado
Tiamina,mg,"0,10","0,03","0,02",BRC0066L,Nome não encontrado
Riboflavina,mg,"0,05","0,01","0,01",BRC0066L,Nome não encontrado
Niacina,mg,"0,20","0,06","0,03",BRC0066L,Nome não encontrado
Vitamina B6,mg,"0,06","0,02","0,01",BRC0066L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0066L,Nome não encontrado
Vitamina C,mg,"13,7","4,10","2,18",BRC0066L,Nome não encontrado
Equivalente de folato,mcg,"26,9","8,06","4,30",BRC0066L,Nome não encontrado
Sal de adição,g,"0,45","0,14","0,07",BRC0066L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0066L,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0066L,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0066L,Nome não encontrado
Proteína animal,g,-,-,-,BRC0066L,Nome não encontrado
