componente,unidade,Valor por 100g,Colher servir cheia (95 g),Colher servir rasa (60 g),Colher sopa cheia (60 g),Colher sopa rasa (30 g),codigo_alimento,nome_alimento
Energia,kJ,1079,1025,647,647,323,BRC0285B,Nome não encontrado
Energia,kcal,262,249,157,157,78,BRC0285B,Nome não encontrado
Umidade,g,"63,5","60,4","38,1","38,1","19,1",BRC0285B,Nome não encontrado
Carboidrato total,g,"7,74","7,35","4,64","4,64","2,32",BRC0285B,Nome não encontrado
Carboidrato disponível,g,"1,71","1,62","1,02","1,02","0,51",BRC0285B,Nome não encontrado
Proteína,g,"1,75","1,67","1,05","1,05","0,53",BRC0285B,Nome não encontrado
Lipídios,g,"26,3","25,0","15,8","15,8","7,88",BRC0285B,Nome não encontrado
Fibra alimentar,g,"6,03","5,73","3,62","3,62","1,81",BRC0285B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0285B,Nome não encontrado
Cinzas,g,"0,70","0,66","0,42","0,42","0,21",BRC0285B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0285B,Nome não encontrado
Ácidos graxos saturados,g,"4,00","3,80","2,40","2,40","1,20",BRC0285B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,09","5,79","3,66","3,66","1,83",BRC0285B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"15,7","14,9","9,44","9,44","4,72",BRC0285B,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,12","0,08","0,08","0,04",BRC0285B,Nome não encontrado
Cálcio,mg,"25,0","23,7","15,0","15,0","7,49",BRC0285B,Nome não encontrado
Ferro,mg,"0,44","0,41","0,26","0,26","0,13",BRC0285B,Nome não encontrado
Sódio,mg,traços,traços,traços,traços,traços,BRC0285B,Nome não encontrado
Magnésio,mg,"25,8","24,5","15,5","15,5","7,73",BRC0285B,Nome não encontrado
Fósforo,mg,"36,3","34,5","21,8","21,8","10,9",BRC0285B,Nome não encontrado
Potássio,mg,266,252,159,159,"79,9",BRC0285B,Nome não encontrado
Manganês,mg,"0,18","0,17","0,11","0,11","0,05",BRC0285B,Nome não encontrado
Zinco,mg,"0,18","0,17","0,11","0,11","0,05",BRC0285B,Nome não encontrado
Cobre,mg,"0,21","0,20","0,12","0,12","0,06",BRC0285B,Nome não encontrado
Selênio,mcg,"0,21","0,20","0,13","0,13","0,06",BRC0285B,Nome não encontrado
Vitamina A (RE),mcg,"15,4","14,6","9,23","9,23","4,61",BRC0285B,Nome não encontrado
Vitamina A (RAE),mcg,"7,69","7,30","4,61","4,61","2,31",BRC0285B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0285B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,09","1,04","0,65","0,65","0,33",BRC0285B,Nome não encontrado
Tiamina,mg,"0,08","0,08","0,05","0,05","0,02",BRC0285B,Nome não encontrado
Riboflavina,mg,"0,05","0,04","0,03","0,03","0,01",BRC0285B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0285B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC0285B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0285B,Nome não encontrado
Vitamina C,mg,"5,10","4,84","3,06","3,06","1,53",BRC0285B,Nome não encontrado
Equivalente de folato,mcg,"20,9","19,9","12,6","12,6","6,28",BRC0285B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0285B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0285B,Nome não encontrado
Gordura de adição,g,,,,,,BRC0285B,Nome não encontrado
Proteína vegetal,g,"1,75","1,67","1,05","1,05","0,53",BRC0285B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0285B,Nome não encontrado
