componente,unidade,Valor por 100g,Xícara chá (30 g),codigo_alimento,nome_alimento
Energia,kJ,136,40,BRC1045B,Nome não encontrado
Energia,kcal,33,9,BRC1045B,Nome não encontrado
Umidade,g,"89,5","26,8",BRC1045B,Nome não encontrado
Carboidrato total,g,"7,50","2,25",BRC1045B,Nome não encontrado
Carboidrato disponível,g,"2,60","0,78",BRC1045B,Nome não encontrado
Proteína,g,"2,59","0,78",BRC1045B,Nome não encontrado
Lipídios,g,"0,23","0,07",BRC1045B,Nome não encontrado
Fibra alimentar,g,"4,88","1,46",BRC1045B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1045B,Nome não encontrado
Cinzas,g,"0,21","0,06",BRC1045B,Nome não encontrado
Colesterol,mg,,,BRC1045B,Nome não encontrado
Ácidos graxos saturados,g,,,BRC1045B,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC1045B,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC1045B,Nome não encontrado
Ácidos graxos trans,g,,,BRC1045B,Nome não encontrado
Cálcio,mg,"26,5","7,94",BRC1045B,Nome não encontrado
Ferro,mg,"0,08","0,02",BRC1045B,Nome não encontrado
Sódio,mg,"0,11","0,03",BRC1045B,Nome não encontrado
Magnésio,mg,"10,1","3,02",BRC1045B,Nome não encontrado
Fósforo,mg,"0,19","0,06",BRC1045B,Nome não encontrado
Potássio,mg,"20,3","6,09",BRC1045B,Nome não encontrado
Manganês,mg,"0,17","0,05",BRC1045B,Nome não encontrado
Zinco,mg,"0,47","0,14",BRC1045B,Nome não encontrado
Cobre,mg,"0,01","0,00",BRC1045B,Nome não encontrado
Selênio,mcg,,,BRC1045B,Nome não encontrado
Vitamina A (RE),mcg,,,BRC1045B,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC1045B,Nome não encontrado
Vitamina D,mcg,,,BRC1045B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC1045B,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC1045B,Nome não encontrado
Riboflavina,mg,"0,08","0,02",BRC1045B,Nome não encontrado
Niacina,mg,"10,7","3,21",BRC1045B,Nome não encontrado
Vitamina B6,mg,"0,08","0,02",BRC1045B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC1045B,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC1045B,Nome não encontrado
Equivalente de folato,mcg,,,BRC1045B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC1045B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1045B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC1045B,Nome não encontrado
Proteína vegetal,g,"2,59","0,78",BRC1045B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC1045B,Nome não encontrado
