componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,626,187,93,BRC0118G,Nome não encontrado
Energia,kcal,150,45,22,BRC0118G,Nome não encontrado
Umidade,g,"68,5","20,5","10,3",BRC0118G,Nome não encontrado
Carboidrato total,g,"12,8","3,84","1,92",BRC0118G,Nome não encontrado
Carboidrato disponível,g,"12,7","3,82","1,91",BRC0118G,Nome não encontrado
Proteína,g,"3,50","1,05","0,53",BRC0118G,Nome não encontrado
Lipídios,g,"9,46","2,84","1,42",BRC0118G,Nome não encontrado
Fibra alimentar,g,"0,06","0,02","0,01",BRC0118G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0118G,Nome não encontrado
Cinzas,g,"5,75","1,72","0,86",BRC0118G,Nome não encontrado
Colesterol,mg,"29,4","8,82","4,41",BRC0118G,Nome não encontrado
Ácidos graxos saturados,g,"5,18","1,55","0,78",BRC0118G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,39","0,72","0,36",BRC0118G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,43","0,13","0,06",BRC0118G,Nome não encontrado
Ácidos graxos trans,g,"0,18","0,05","0,03",BRC0118G,Nome não encontrado
Cálcio,mg,122,"36,8","18,4",BRC0118G,Nome não encontrado
Ferro,mg,"0,18","0,05","0,03",BRC0118G,Nome não encontrado
Sódio,mg,2064,619,309,BRC0118G,Nome não encontrado
Magnésio,mg,"10,6","3,17","1,59",BRC0118G,Nome não encontrado
Fósforo,mg,102,"30,7","15,3",BRC0118G,Nome não encontrado
Potássio,mg,144,"43,4","21,7",BRC0118G,Nome não encontrado
Manganês,mg,"0,01","0,00","0,00",BRC0118G,Nome não encontrado
Zinco,mg,"0,43","0,13","0,06",BRC0118G,Nome não encontrado
Cobre,mg,"0,02","0,01","0,00",BRC0118G,Nome não encontrado
Selênio,mcg,"4,94","1,48","0,74",BRC0118G,Nome não encontrado
Vitamina A (RE),mcg,"80,6","24,2","12,1",BRC0118G,Nome não encontrado
Vitamina A (RAE),mcg,"78,9","23,7","11,8",BRC0118G,Nome não encontrado
Vitamina D,mcg,"0,30","0,09","0,04",BRC0118G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,27","0,08","0,04",BRC0118G,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,00",BRC0118G,Nome não encontrado
Riboflavina,mg,"0,22","0,07","0,03",BRC0118G,Nome não encontrado
Niacina,mg,"1,20","0,36","0,18",BRC0118G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0118G,Nome não encontrado
Vitamina B12,mcg,"0,35","0,10","0,05",BRC0118G,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0118G,Nome não encontrado
Equivalente de folato,mcg,"4,11","1,23","0,62",BRC0118G,Nome não encontrado
Sal de adição,g,"5,00","1,50","0,75",BRC0118G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0118G,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0118G,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0118G,Nome não encontrado
Proteína animal,g,-,-,-,BRC0118G,Nome não encontrado
