componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1695,338,169,BRC0088A,Nome não encontrado
Energia,kcal,401,80,40,BRC0088A,Nome não encontrado
Umidade,g,"3,80","0,76","0,38",BRC0088A,Nome não encontrado
Carboidrato total,g,"75,6","15,1","7,56",BRC0088A,Nome não encontrado
Carboidrato disponível,g,"73,2","14,6","7,32",BRC0088A,Nome não encontrado
Proteína,g,"12,2","2,43","1,22",BRC0088A,Nome não encontrado
Lipídios,g,"6,06","1,21","0,61",BRC0088A,Nome não encontrado
Fibra alimentar,g,"2,47","0,49","0,25",BRC0088A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0088A,Nome não encontrado
Cinzas,g,"2,18","0,44","0,22",BRC0088A,Nome não encontrado
Colesterol,mg,"11,8","2,36","1,18",BRC0088A,Nome não encontrado
Ácidos graxos saturados,g,"3,45","0,69","0,35",BRC0088A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,47","0,29","0,15",BRC0088A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,63","0,13","0,06",BRC0088A,Nome não encontrado
Ácidos graxos trans,g,"0,16","0,03","0,02",BRC0088A,Nome não encontrado
Cálcio,mg,193,"38,7","19,4",BRC0088A,Nome não encontrado
Ferro,mg,"8,62","1,72","0,86",BRC0088A,Nome não encontrado
Sódio,mg,123,"24,7","12,4",BRC0088A,Nome não encontrado
Magnésio,mg,"57,0","11,4","5,70",BRC0088A,Nome não encontrado
Fósforo,mg,292,"58,6","29,3",BRC0088A,Nome não encontrado
Potássio,mg,361,"72,3","36,1",BRC0088A,Nome não encontrado
Manganês,mg,"1,47","0,29","0,15",BRC0088A,Nome não encontrado
Zinco,mg,"1,71","0,34","0,17",BRC0088A,Nome não encontrado
Cobre,mg,"0,19","0,04","0,02",BRC0088A,Nome não encontrado
Selênio,mcg,"2,58","0,52","0,26",BRC0088A,Nome não encontrado
Vitamina A (RE),mcg,515,103,"51,5",BRC0088A,Nome não encontrado
Vitamina A (RAE),mcg,515,103,"51,5",BRC0088A,Nome não encontrado
Vitamina D,mcg,,,,BRC0088A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"5,07","1,01","0,51",BRC0088A,Nome não encontrado
Tiamina,mg,"1,41","0,28","0,14",BRC0088A,Nome não encontrado
Riboflavina,mg,"1,12","0,22","0,11",BRC0088A,Nome não encontrado
Niacina,mg,"9,39","1,88","0,94",BRC0088A,Nome não encontrado
Vitamina B6,mg,"1,12","0,22","0,11",BRC0088A,Nome não encontrado
Vitamina B12,mcg,,,,BRC0088A,Nome não encontrado
Vitamina C,mg,"24,0","4,80","2,40",BRC0088A,Nome não encontrado
Equivalente de folato,mcg,135,"27,1","13,6",BRC0088A,Nome não encontrado
Sal de adição,g,,,,BRC0088A,Nome não encontrado
Açúcar de adição,g,,,,BRC0088A,Nome não encontrado
Gordura de adição,g,,,,BRC0088A,Nome não encontrado
Proteína vegetal,g,,,,BRC0088A,Nome não encontrado
Proteína animal,g,,,,BRC0088A,Nome não encontrado
