componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (110 unidade),codigo_alimento,nome_alimento
Energia,kJ,590,649,BRC0593F,Nome não encontrado
Energia,kcal,140,153,BRC0593F,Nome não encontrado
Umidade,g,"67,3","74,0",BRC0593F,Nome não encontrado
Carboidrato total,g,"1,25","1,38",BRC0593F,Nome não encontrado
Carboidrato disponível,g,"0,99","1,09",BRC0593F,Nome não encontrado
Proteína,g,"26,1","28,7",BRC0593F,Nome não encontrado
Lipídios,g,"3,44","3,78",BRC0593F,Nome não encontrado
Fibra alimentar,g,"0,26","0,29",BRC0593F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0593F,Nome não encontrado
Cinzas,g,"1,94","2,13",BRC0593F,Nome não encontrado
Colesterol,mg,"74,1","81,5",BRC0593F,Nome não encontrado
Ácidos graxos saturados,g,"8,28","9,11",BRC0593F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,84","7,53",BRC0593F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,33","0,36",BRC0593F,Nome não encontrado
Ácidos graxos trans,g,"0,38","0,42",BRC0593F,Nome não encontrado
Cálcio,mg,"6,41","7,05",BRC0593F,Nome não encontrado
Ferro,mg,"2,09","2,30",BRC0593F,Nome não encontrado
Sódio,mg,297,327,BRC0593F,Nome não encontrado
Magnésio,mg,"19,4","21,3",BRC0593F,Nome não encontrado
Fósforo,mg,202,222,BRC0593F,Nome não encontrado
Potássio,mg,350,385,BRC0593F,Nome não encontrado
Manganês,mg,"0,04","0,05",BRC0593F,Nome não encontrado
Zinco,mg,"4,64","5,11",BRC0593F,Nome não encontrado
Cobre,mg,"0,08","0,09",BRC0593F,Nome não encontrado
Selênio,mcg,"0,02","0,02",BRC0593F,Nome não encontrado
Vitamina A (RE),mcg,"1,68","1,85",BRC0593F,Nome não encontrado
Vitamina A (RAE),mcg,"1,86","2,04",BRC0593F,Nome não encontrado
Vitamina D,mcg,"0,11","0,12",BRC0593F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,22","0,24",BRC0593F,Nome não encontrado
Tiamina,mg,"0,02","0,03",BRC0593F,Nome não encontrado
Riboflavina,mg,"0,05","0,05",BRC0593F,Nome não encontrado
Niacina,mg,"1,42","1,57",BRC0593F,Nome não encontrado
Vitamina B6,mg,"0,13","0,14",BRC0593F,Nome não encontrado
Vitamina B12,mcg,"1,72","1,89",BRC0593F,Nome não encontrado
Vitamina C,mg,"6,23","6,86",BRC0593F,Nome não encontrado
Equivalente de folato,mcg,"2,42","2,66",BRC0593F,Nome não encontrado
Sal de adição,g,"0,45","0,50",BRC0593F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0593F,Nome não encontrado
Gordura de adição,g,-,-,BRC0593F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0593F,Nome não encontrado
Proteína animal,g,-,-,BRC0593F,Nome não encontrado
