componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (5 g),codigo_alimento,nome_alimento
Energia,kJ,1010,50,BRC0047L,Nome não encontrado
Energia,kcal,242,12,BRC0047L,Nome não encontrado
Umidade,g,"2,52","0,13",BRC0047L,Nome não encontrado
Carboidrato total,g,"17,9","0,90",BRC0047L,Nome não encontrado
Carboidrato disponível,g,"17,3","0,87",BRC0047L,Nome não encontrado
Proteína,g,"8,11","0,41",BRC0047L,Nome não encontrado
Lipídios,g,"15,5","0,77",BRC0047L,Nome não encontrado
Fibra alimentar,g,"0,58","0,03",BRC0047L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0047L,Nome não encontrado
Cinzas,g,"56,0","2,80",BRC0047L,Nome não encontrado
Colesterol,mg,traços,traços,BRC0047L,Nome não encontrado
Ácidos graxos saturados,g,"7,29","0,36",BRC0047L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,34","0,12",BRC0047L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,09","0,00",BRC0047L,Nome não encontrado
Ácidos graxos trans,g,"5,07","0,25",BRC0047L,Nome não encontrado
Cálcio,mg,129,"6,48",BRC0047L,Nome não encontrado
Ferro,mg,traços,traços,BRC0047L,Nome não encontrado
Sódio,mg,22274,1113,BRC0047L,Nome não encontrado
Magnésio,mg,"22,2","1,11",BRC0047L,Nome não encontrado
Fósforo,mg,123,"6,18",BRC0047L,Nome não encontrado
Potássio,mg,219,"11,0",BRC0047L,Nome não encontrado
Manganês,mg,"0,02","0,00",BRC0047L,Nome não encontrado
Zinco,mg,traços,traços,BRC0047L,Nome não encontrado
Cobre,mg,traços,traços,BRC0047L,Nome não encontrado
Selênio,mcg,"27,8","1,39",BRC0047L,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0047L,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0047L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0047L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0047L,Nome não encontrado
Tiamina,mg,"0,71","0,04",BRC0047L,Nome não encontrado
Riboflavina,mg,"0,07","0,00",BRC0047L,Nome não encontrado
Niacina,mg,traços,traços,BRC0047L,Nome não encontrado
Vitamina B6,mg,"0,27","0,01",BRC0047L,Nome não encontrado
Vitamina B12,mcg,"1,01","0,05",BRC0047L,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0047L,Nome não encontrado
Equivalente de folato,mcg,"32,3","1,61",BRC0047L,Nome não encontrado
Sal de adição,g,,,BRC0047L,Nome não encontrado
Açúcar de adição,g,,,BRC0047L,Nome não encontrado
Gordura de adição,g,,,BRC0047L,Nome não encontrado
Proteína vegetal,g,,,BRC0047L,Nome não encontrado
Proteína animal,g,,,BRC0047L,Nome não encontrado
