componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (50 mL),codigo_alimento,nome_alimento
Energia,kJ,858,428,BRC0056H,Nome não encontrado
Energia,kcal,207,103,BRC0056H,Nome não encontrado
Umidade,g,"70,3","35,2",BRC0056H,Nome não encontrado
Carboidrato total,g,"0,30","0,15",BRC0056H,Nome não encontrado
Carboidrato disponível,g,"0,30","0,15",BRC0056H,Nome não encontrado
Proteína,g,"0,00","0,00",BRC0056H,Nome não encontrado
Lipídios,g,"0,00","0,00",BRC0056H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0056H,Nome não encontrado
Álcool,g,"29,4","14,7",BRC0056H,Nome não encontrado
Cinzas,g,"0,00","0,00",BRC0056H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0056H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0056H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0056H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0056H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0056H,Nome não encontrado
Cálcio,mg,"1,00","0,50",BRC0056H,Nome não encontrado
Ferro,mg,"0,06","0,03",BRC0056H,Nome não encontrado
Sódio,mg,"2,00","1,00",BRC0056H,Nome não encontrado
Magnésio,mg,"1,00","0,50",BRC0056H,Nome não encontrado
Fósforo,mg,"0,00","0,00",BRC0056H,Nome não encontrado
Potássio,mg,"1,00","0,50",BRC0056H,Nome não encontrado
Manganês,mg,"0,00","0,00",BRC0056H,Nome não encontrado
Zinco,mg,"0,06","0,03",BRC0056H,Nome não encontrado
Cobre,mg,"0,01","0,01",BRC0056H,Nome não encontrado
Selênio,mcg,,traços,BRC0056H,Nome não encontrado
Vitamina A (RE),mcg,,traços,BRC0056H,Nome não encontrado
Vitamina A (RAE),mcg,,traços,BRC0056H,Nome não encontrado
Vitamina D,mcg,,traços,BRC0056H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,traços,BRC0056H,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0056H,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0056H,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0056H,Nome não encontrado
Vitamina B6,mg,,traços,BRC0056H,Nome não encontrado
Vitamina B12,mcg,,traços,BRC0056H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0056H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0056H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0056H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0056H,Nome não encontrado
Gordura de adição,g,-,-,BRC0056H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0056H,Nome não encontrado
Proteína animal,g,-,-,BRC0056H,Nome não encontrado
