componente,unidade,Valor por 100g,Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,295,235,BRC0278T,Nome não encontrado
Energia,kcal,70,56,BRC0278T,Nome não encontrado
Umidade,g,"82,0","65,6",BRC0278T,Nome não encontrado
Carboidrato total,g,"11,1","8,86",BRC0278T,Nome não encontrado
Carboidrato disponível,g,"7,22","5,77",BRC0278T,Nome não encontrado
Proteína,g,"3,90","3,12",BRC0278T,Nome não encontrado
Lipídios,g,"2,03","1,62",BRC0278T,Nome não encontrado
Fibra alimentar,g,"3,86","3,08",BRC0278T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0278T,Nome não encontrado
Cinzas,g,"0,98","0,78",BRC0278T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0278T,Nome não encontrado
Ácidos graxos saturados,g,"0,32","0,26",BRC0278T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,49","0,40",BRC0278T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,14","0,91",BRC0278T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0278T,Nome não encontrado
Cálcio,mg,"15,2","12,2",BRC0278T,Nome não encontrado
Ferro,mg,"1,24","0,99",BRC0278T,Nome não encontrado
Sódio,mg,184,147,BRC0278T,Nome não encontrado
Magnésio,mg,"19,3","15,5",BRC0278T,Nome não encontrado
Fósforo,mg,"65,7","52,5",BRC0278T,Nome não encontrado
Potássio,mg,151,121,BRC0278T,Nome não encontrado
Manganês,mg,"0,65","0,52",BRC0278T,Nome não encontrado
Zinco,mg,"1,04","0,83",BRC0278T,Nome não encontrado
Cobre,mg,"0,24","0,20",BRC0278T,Nome não encontrado
Selênio,mcg,"1,48","1,18",BRC0278T,Nome não encontrado
Vitamina A (RE),mcg,"0,96","0,76",BRC0278T,Nome não encontrado
Vitamina A (RAE),mcg,"0,48","0,38",BRC0278T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0278T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,27","0,22",BRC0278T,Nome não encontrado
Tiamina,mg,"0,06","0,05",BRC0278T,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0278T,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0278T,Nome não encontrado
Vitamina B6,mg,"0,29","0,23",BRC0278T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0278T,Nome não encontrado
Vitamina C,mg,"0,41","0,33",BRC0278T,Nome não encontrado
Equivalente de folato,mcg,"68,0","54,4",BRC0278T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0278T,Nome não encontrado
Açúcar de adição,g,"0,45","0,36",BRC0278T,Nome não encontrado
Gordura de adição,g,-,-,BRC0278T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0278T,Nome não encontrado
Proteína animal,g,-,-,BRC0278T,Nome não encontrado
