componente,unidade,Valor por 100g,Colher café cheia (3.5 g),Colher café rasa (2 g),Colher chá cheia (8 g),Colher chá rasa (3 g),Colher sobremesa cheia (21 g),Colher sobremesa rasa (11 g),Colher sopa cheia (22 g),Colher sopa rasa (17 g),codigo_alimento,nome_alimento
Energia,kJ,931,32,18,74,27,195,102,204,158,BRC0032D,Nome não encontrado
Energia,kcal,225,7,4,17,6,47,24,49,38,BRC0032D,Nome não encontrado
Umidade,g,"66,5","2,33","1,33","5,32","2,00","14,0","7,32","14,6","11,3",BRC0032D,Nome não encontrado
Carboidrato total,g,"2,79","0,10","0,06","0,22","0,08","0,59","0,31","0,61","0,47",BRC0032D,Nome não encontrado
Carboidrato disponível,g,"2,79","0,10","0,06","0,22","0,08","0,59","0,31","0,61","0,47",BRC0032D,Nome não encontrado
Proteína,g,"8,65","0,30","0,17","0,69","0,26","1,82","0,95","1,90","1,47",BRC0032D,Nome não encontrado
Lipídios,g,"19,9","0,70","0,40","1,59","0,60","4,18","2,19","4,38","3,38",BRC0032D,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0032D,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0032D,Nome não encontrado
Cinzas,g,"2,13","0,07","0,04","0,17","0,06","0,45","0,23","0,47","0,36",BRC0032D,Nome não encontrado
Colesterol,mg,"47,4","1,66","0,95","3,79","1,42","9,96","5,22","10,4","8,06",BRC0032D,Nome não encontrado
Ácidos graxos saturados,g,"6,53","0,23","0,13","0,52","0,20","1,37","0,72","1,44","1,11",BRC0032D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"9,19","0,32","0,18","0,74","0,28","1,93","1,01","2,02","1,56",BRC0032D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,45","0,12","0,07","0,28","0,10","0,72","0,38","0,76","0,59",BRC0032D,Nome não encontrado
Ácidos graxos trans,g,,,,,,,,,,BRC0032D,Nome não encontrado
Cálcio,mg,"10,3","0,36","0,21","0,82","0,31","2,15","1,13","2,26","1,74",BRC0032D,Nome não encontrado
Ferro,mg,"0,76","0,03","0,02","0,06","0,02","0,16","0,08","0,17","0,13",BRC0032D,Nome não encontrado
Sódio,mg,1378,"48,2","27,6",110,"41,3",289,151,303,234,BRC0032D,Nome não encontrado
Magnésio,mg,"12,8","0,45","0,26","1,03","0,38","2,69","1,41","2,82","2,18",BRC0032D,Nome não encontrado
Fósforo,mg,153,"5,38","3,08","12,3","4,62","32,3","16,9","33,8","26,2",BRC0032D,Nome não encontrado
Potássio,mg,192,"6,73","3,85","15,4","5,77","40,4","21,2","42,3","32,7",BRC0032D,Nome não encontrado
Manganês,mg,,,,,,,,,,BRC0032D,Nome não encontrado
Zinco,mg,"1,41","0,05","0,03","0,11","0,04","0,30","0,16","0,31","0,24",BRC0032D,Nome não encontrado
Cobre,mg,,,,,,,,,,BRC0032D,Nome não encontrado
Selênio,mcg,,,,,,,,,,BRC0032D,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0032D,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0032D,Nome não encontrado
Vitamina D,mcg,"0,90","0,03","0,02","0,07","0,03","0,19","0,10","0,20","0,15",BRC0032D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,23","0,08","0,04","0,18","0,07","0,47","0,25","0,49","0,38",BRC0032D,Nome não encontrado
Tiamina,mg,"0,56","0,02","0,01","0,04","0,02","0,12","0,06","0,12","0,09",BRC0032D,Nome não encontrado
Riboflavina,mg,"0,15","0,01","0,00","0,01","0,00","0,03","0,02","0,03","0,03",BRC0032D,Nome não encontrado
Niacina,mg,"2,69","0,09","0,05","0,21","0,08","0,56","0,30","0,59","0,46",BRC0032D,Nome não encontrado
Vitamina B6,mg,"0,19","0,01","0,00","0,02","0,01","0,04","0,02","0,04","0,03",BRC0032D,Nome não encontrado
Vitamina B12,mcg,"0,97","0,03","0,02","0,08","0,03","0,20","0,11","0,21","0,17",BRC0032D,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0032D,Nome não encontrado
Equivalente de folato,mcg,"1,28","0,04","0,03","0,10","0,04","0,27","0,14","0,28","0,22",BRC0032D,Nome não encontrado
Sal de adição,g,,,,,,,,,,BRC0032D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0032D,Nome não encontrado
Gordura de adição,g,,,,,,,,,,BRC0032D,Nome não encontrado
Proteína vegetal,g,,,,,,,,,,BRC0032D,Nome não encontrado
Proteína animal,g,,,,,,,,,,BRC0032D,Nome não encontrado
