componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,948,947,BRC0048J,Nome não encontrado
Energia,kcal,227,227,BRC0048J,Nome não encontrado
Umidade,g,"57,9","57,9",BRC0048J,Nome não encontrado
Carboidrato total,g,"13,2","13,2",BRC0048J,Nome não encontrado
Carboidrato disponível,g,"11,8","11,8",BRC0048J,Nome não encontrado
Proteína,g,"13,4","13,4",BRC0048J,Nome não encontrado
Lipídios,g,"13,7","13,7",BRC0048J,Nome não encontrado
Fibra alimentar,g,"1,42","1,42",BRC0048J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0048J,Nome não encontrado
Cinzas,g,"1,70","1,70",BRC0048J,Nome não encontrado
Colesterol,mg,250,250,BRC0048J,Nome não encontrado
Ácidos graxos saturados,g,"6,25","6,25",BRC0048J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,42","4,42",BRC0048J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,04","1,04",BRC0048J,Nome não encontrado
Ácidos graxos trans,g,"0,29","0,29",BRC0048J,Nome não encontrado
Cálcio,mg,"62,0","62,0",BRC0048J,Nome não encontrado
Ferro,mg,"2,93","2,93",BRC0048J,Nome não encontrado
Sódio,mg,585,585,BRC0048J,Nome não encontrado
Magnésio,mg,"23,8","23,8",BRC0048J,Nome não encontrado
Fósforo,mg,202,202,BRC0048J,Nome não encontrado
Potássio,mg,169,169,BRC0048J,Nome não encontrado
Manganês,mg,"0,56","0,56",BRC0048J,Nome não encontrado
Zinco,mg,"2,22","2,22",BRC0048J,Nome não encontrado
Cobre,mg,"0,09","0,09",BRC0048J,Nome não encontrado
Selênio,mcg,"9,66","9,66",BRC0048J,Nome não encontrado
Vitamina A (RE),mcg,167,167,BRC0048J,Nome não encontrado
Vitamina A (RAE),mcg,159,159,BRC0048J,Nome não encontrado
Vitamina D,mcg,"1,13","1,13",BRC0048J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,53","1,53",BRC0048J,Nome não encontrado
Tiamina,mg,"0,17","0,17",BRC0048J,Nome não encontrado
Riboflavina,mg,"0,15","0,15",BRC0048J,Nome não encontrado
Niacina,mg,"1,88","1,88",BRC0048J,Nome não encontrado
Vitamina B6,mg,"0,06","0,06",BRC0048J,Nome não encontrado
Vitamina B12,mcg,"0,64","0,64",BRC0048J,Nome não encontrado
Vitamina C,mg,"1,06","1,06",BRC0048J,Nome não encontrado
Equivalente de folato,mcg,"48,0","48,0",BRC0048J,Nome não encontrado
Sal de adição,g,"0,47","0,47",BRC0048J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0048J,Nome não encontrado
Gordura de adição,g,-,-,BRC0048J,Nome não encontrado
Proteína vegetal,g,-,-,BRC0048J,Nome não encontrado
Proteína animal,g,-,-,BRC0048J,Nome não encontrado
