componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (17 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,1288,450,218,1803,1030,BRC0225T,Nome não encontrado
Energia,kcal,306,107,52,428,244,BRC0225T,Nome não encontrado
Umidade,g,"81,9","28,7","13,9",114,"65,6",BRC0225T,Nome não encontrado
Carboidrato total,g,"12,1","4,24","2,06","17,0","9,70",BRC0225T,Nome não encontrado
Carboidrato disponível,g,"5,60","1,96","0,95","7,83","4,48",BRC0225T,Nome não encontrado
Proteína,g,"3,59","1,26","0,61","5,03","2,88",BRC0225T,Nome não encontrado
Lipídios,g,"1,61","0,56","0,27","2,25","1,28",BRC0225T,Nome não encontrado
Fibra alimentar,g,"6,53","2,28","1,11","9,14","5,22",BRC0225T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0225T,Nome não encontrado
Cinzas,g,"0,73","0,26","0,12","1,02","0,58",BRC0225T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0225T,Nome não encontrado
Ácidos graxos saturados,g,"0,26","0,09","0,04","0,36","0,21",BRC0225T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,36","0,12","0,06","0,50","0,28",BRC0225T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,94","0,33","0,16","1,32","0,75",BRC0225T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,01","0,00",BRC0225T,Nome não encontrado
Cálcio,mg,"24,5","8,56","4,16","34,2","19,6",BRC0225T,Nome não encontrado
Ferro,mg,"1,10","0,38","0,19","1,54","0,88",BRC0225T,Nome não encontrado
Sódio,mg,"6,36","2,23","1,08","8,90","5,09",BRC0225T,Nome não encontrado
Magnésio,mg,"32,7","11,4","5,56","45,8","26,2",BRC0225T,Nome não encontrado
Fósforo,mg,"71,9","25,2","12,2",100,"57,5",BRC0225T,Nome não encontrado
Potássio,mg,248,"86,9","42,2",347,198,BRC0225T,Nome não encontrado
Manganês,mg,"0,31","0,11","0,05","0,43","0,24",BRC0225T,Nome não encontrado
Zinco,mg,"1,39","0,49","0,24","1,94","1,11",BRC0225T,Nome não encontrado
Cobre,mg,"0,41","0,14","0,07","0,57","0,33",BRC0225T,Nome não encontrado
Selênio,mcg,"1,98","0,69","0,34","2,77","1,58",BRC0225T,Nome não encontrado
Vitamina A (RE),mcg,,,,,,BRC0225T,Nome não encontrado
Vitamina A (RAE),mcg,,,,,,BRC0225T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0225T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,16","0,06","0,03","0,23","0,13",BRC0225T,Nome não encontrado
Tiamina,mg,"0,07","0,02","0,01","0,09","0,05",BRC0225T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0225T,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00","0,00",BRC0225T,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01","0,04","0,03",BRC0225T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0225T,Nome não encontrado
Vitamina C,mg,"0,72","0,25","0,12","1,01","0,58",BRC0225T,Nome não encontrado
Equivalente de folato,mcg,"73,6","25,8","12,5",103,"58,9",BRC0225T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0225T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0225T,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0225T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0225T,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0225T,Nome não encontrado
