componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,2301,575,BRC0058L,Nome não encontrado
Energia,kcal,558,139,BRC0058L,Nome não encontrado
Umidade,g,"26,4","6,60",BRC0058L,Nome não encontrado
Carboidrato total,g,"5,47","1,37",BRC0058L,Nome não encontrado
Carboidrato disponível,g,"3,10","0,78",BRC0058L,Nome não encontrado
Proteína,g,"10,7","2,68",BRC0058L,Nome não encontrado
Lipídios,g,"55,3","13,8",BRC0058L,Nome não encontrado
Fibra alimentar,g,"2,36","0,59",BRC0058L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0058L,Nome não encontrado
Cinzas,g,"2,11","0,53",BRC0058L,Nome não encontrado
Colesterol,mg,"28,4","7,11",BRC0058L,Nome não encontrado
Ácidos graxos saturados,g,"11,8","2,95",BRC0058L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"32,6","8,15",BRC0058L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"9,50","2,37",BRC0058L,Nome não encontrado
Ácidos graxos trans,g,"0,31","0,08",BRC0058L,Nome não encontrado
Cálcio,mg,312,"78,2",BRC0058L,Nome não encontrado
Ferro,mg,"1,01","0,25",BRC0058L,Nome não encontrado
Sódio,mg,429,107,BRC0058L,Nome não encontrado
Magnésio,mg,"39,5","9,87",BRC0058L,Nome não encontrado
Fósforo,mg,259,"64,8",BRC0058L,Nome não encontrado
Potássio,mg,168,"42,2",BRC0058L,Nome não encontrado
Manganês,mg,"0,62","0,15",BRC0058L,Nome não encontrado
Zinco,mg,"1,52","0,38",BRC0058L,Nome não encontrado
Cobre,mg,"0,18","0,05",BRC0058L,Nome não encontrado
Selênio,mcg,"7,38","1,85",BRC0058L,Nome não encontrado
Vitamina A (RE),mcg,189,"47,4",BRC0058L,Nome não encontrado
Vitamina A (RAE),mcg,103,"26,0",BRC0058L,Nome não encontrado
Vitamina D,mcg,"0,17","0,04",BRC0058L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"7,32","1,83",BRC0058L,Nome não encontrado
Tiamina,mg,"0,07","0,02",BRC0058L,Nome não encontrado
Riboflavina,mg,"0,14","0,04",BRC0058L,Nome não encontrado
Niacina,mg,"0,29","0,07",BRC0058L,Nome não encontrado
Vitamina B6,mg,"0,11","0,03",BRC0058L,Nome não encontrado
Vitamina B12,mcg,"0,33","0,08",BRC0058L,Nome não encontrado
Vitamina C,mg,"1,97","0,49",BRC0058L,Nome não encontrado
Equivalente de folato,mcg,"16,8","4,20",BRC0058L,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0058L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0058L,Nome não encontrado
Gordura de adição,g,-,-,BRC0058L,Nome não encontrado
Proteína vegetal,g,-,-,BRC0058L,Nome não encontrado
Proteína animal,g,-,-,BRC0058L,Nome não encontrado
