componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,956,573,430,956,BRC0403E,Nome não encontrado
Energia,kcal,230,137,103,229,BRC0403E,Nome não encontrado
Umidade,g,"60,1","36,1","27,0","60,1",BRC0403E,Nome não encontrado
Carboidrato total,g,"2,37","1,42","1,07","2,37",BRC0403E,Nome não encontrado
Carboidrato disponível,g,"1,86","1,12","0,84","1,86",BRC0403E,Nome não encontrado
Proteína,g,"20,8","12,5","9,34","20,8",BRC0403E,Nome não encontrado
Lipídios,g,"15,3","9,21","6,91","15,3",BRC0403E,Nome não encontrado
Fibra alimentar,g,"0,51","0,30","0,23","0,51",BRC0403E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0403E,Nome não encontrado
Cinzas,g,"1,43","0,86","0,64","1,43",BRC0403E,Nome não encontrado
Colesterol,mg,"56,2","33,7","25,3","56,2",BRC0403E,Nome não encontrado
Ácidos graxos saturados,g,"3,39","2,03","1,53","3,39",BRC0403E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,25","2,55","1,91","4,25",BRC0403E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"6,34","3,80","2,85","6,34",BRC0403E,Nome não encontrado
Ácidos graxos trans,g,-,-,-,-,BRC0403E,Nome não encontrado
Cálcio,mg,"11,8","7,06","5,29","11,8",BRC0403E,Nome não encontrado
Ferro,mg,"0,35","0,21","0,16","0,35",BRC0403E,Nome não encontrado
Sódio,mg,"68,8","41,3","30,9","68,8",BRC0403E,Nome não encontrado
Magnésio,mg,"32,2","19,3","14,5","32,2",BRC0403E,Nome não encontrado
Fósforo,mg,281,168,126,281,BRC0403E,Nome não encontrado
Potássio,mg,456,274,205,456,BRC0403E,Nome não encontrado
Manganês,mg,"0,02","0,01","0,01","0,02",BRC0403E,Nome não encontrado
Zinco,mg,"0,41","0,25","0,19","0,41",BRC0403E,Nome não encontrado
Cobre,mg,"0,06","0,03","0,03","0,06",BRC0403E,Nome não encontrado
Selênio,mcg,"22,5","13,5","10,1","22,5",BRC0403E,Nome não encontrado
Vitamina A (RE),mcg,"20,2","12,1","9,11","20,2",BRC0403E,Nome não encontrado
Vitamina A (RAE),mcg,"10,1","6,07","4,55","10,1",BRC0403E,Nome não encontrado
Vitamina D,mcg,"7,59","4,56","3,42","7,59",BRC0403E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,33","2,00","1,50","3,33",BRC0403E,Nome não encontrado
Tiamina,mg,"0,20","0,12","0,09","0,20",BRC0403E,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,02","0,04",BRC0403E,Nome não encontrado
Niacina,mg,"3,23","1,94","1,45","3,23",BRC0403E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01","0,02",BRC0403E,Nome não encontrado
Vitamina B12,mcg,"2,72","1,63","1,22","2,72",BRC0403E,Nome não encontrado
Vitamina C,mg,"9,35","5,61","4,21","9,35",BRC0403E,Nome não encontrado
Equivalente de folato,mcg,"24,4","14,7","11,0","24,4",BRC0403E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0403E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0403E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0403E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0403E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0403E,Nome não encontrado
