componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 g),codigo_alimento,nome_alimento
Energia,kJ,1291,387,BRC0047G,Nome não encontrado
Energia,kcal,311,93,BRC0047G,Nome não encontrado
Umidade,g,"49,5","14,8",BRC0047G,Nome não encontrado
Carboidrato total,g,"3,35","1,00",BRC0047G,Nome não encontrado
Carboidrato disponível,g,"3,35","1,00",BRC0047G,Nome não encontrado
Proteína,g,"21,4","6,43",BRC0047G,Nome não encontrado
Lipídios,g,"23,5","7,05",BRC0047G,Nome não encontrado
Fibra alimentar,g,,,BRC0047G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0047G,Nome não encontrado
Cinzas,g,"2,22","0,67",BRC0047G,Nome não encontrado
Colesterol,mg,"74,3","22,3",BRC0047G,Nome não encontrado
Ácidos graxos saturados,g,"13,3","3,99",BRC0047G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,56","1,67",BRC0047G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,46","0,14",BRC0047G,Nome não encontrado
Ácidos graxos trans,g,"0,80","0,24",BRC0047G,Nome não encontrado
Cálcio,mg,246,"73,8",BRC0047G,Nome não encontrado
Ferro,mg,"0,28","0,08",BRC0047G,Nome não encontrado
Sódio,mg,537,161,BRC0047G,Nome não encontrado
Magnésio,mg,"21,8","6,54",BRC0047G,Nome não encontrado
Fósforo,mg,434,130,BRC0047G,Nome não encontrado
Potássio,mg,"57,2","17,2",BRC0047G,Nome não encontrado
Manganês,mg,"0,03","0,01",BRC0047G,Nome não encontrado
Zinco,mg,"3,26","0,98",BRC0047G,Nome não encontrado
Cobre,mg,"0,08","0,02",BRC0047G,Nome não encontrado
Selênio,mcg,"13,8","4,13",BRC0047G,Nome não encontrado
Vitamina A (RE),mcg,112,"33,7",BRC0047G,Nome não encontrado
Vitamina A (RAE),mcg,104,"31,4",BRC0047G,Nome não encontrado
Vitamina D,mcg,"0,37","0,11",BRC0047G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,18","0,05",BRC0047G,Nome não encontrado
Tiamina,mg,traços,traços,BRC0047G,Nome não encontrado
Riboflavina,mg,"0,19","0,06",BRC0047G,Nome não encontrado
Niacina,mg,traços,traços,BRC0047G,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0047G,Nome não encontrado
Vitamina B12,mcg,"2,30","0,69",BRC0047G,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0047G,Nome não encontrado
Equivalente de folato,mcg,"7,07","2,12",BRC0047G,Nome não encontrado
Sal de adição,g,,,BRC0047G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0047G,Nome não encontrado
Gordura de adição,g,,,BRC0047G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0047G,Nome não encontrado
Proteína animal,g,"21,4","6,43",BRC0047G,Nome não encontrado
